time_stamp,uptime,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-10-13T08:00:00Z,1577,573,15235,16.5,16.5,,71.642,71.642,,867.085,867.085,,,,,0.06,9.9,9.8,10,28.9,27.7,30,15,14.6,15.3,87.4,90.2,84.7,1923.7195,1846.106,2001.333,518.6955,507.664,529.727,123.917,121.239,126.595,20.443,17.409,23.477,3.669,3.108,4.23,1.4415,1.767,1.116,9.485,9.249,9.721,9.3965,9.162,9.631,17.2085,16.627,17.79,17.565,16.98,18.15,20.13,19.139,21.121,20.3585,19.374,21.343
2023-10-13T09:00:00Z,4982,643,15944,20.534,20.534,,66.6,66.6,,866.869,866.869,,,,,0.06,47.5,46.3,48.7,124,118.5,129.5,27.7,27.2,28.1,24.6,25.6,23.6,8266.716,7900.74,8632.692,2283.863,2203.638,2364.088,639.161,623.538,654.784,109.7205,103.34,116.101,16.8215,15.734,17.909,5.967,7.503,4.431,45.871,44.359,47.383,33.4745,32.508,34.441,63.535,62.524,64.546,90.009,88.507,91.511,75.7615,74.313,77.21,103.16,101.035,105.285
2023-10-13T10:00:00Z,8584,692,15695,25.934,25.934,,59.934,59.934,,866.944,866.944,,,,,0.06,135.6,131.1,140.1,340.4,323.5,357.4,37.3,36.8,37.8,9.3,9.8,8.9,22694.6325,21564.745,23824.52,6381.7785,6136.083,6627.474,1838.6335,1787.996,1889.271,300.9225,291.656,310.189,56.8025,56.943,56.662,21.0425,27.138,14.947,138.198,134.545,141.851,91.272,88.82,93.724,176.77,175.619,177.921,266.4825,264.772,268.193,208.317,208.249,208.385,313.7805,313.686,313.875
2023-10-13T11:00:00Z,12185,696,15822,32.867,32.867,,53.166,53.166,,867.139,867.139,,,,,0.06,92.6,89.6,95.6,239.9,226.7,253.1,33.9,33.4,34.5,13.1,13.8,12.4,15995.627,15115.075,16876.179,4453.2935,4274.887,4631.7,1253.7155,1222.01,1285.421,218.811,212.025,225.597,42.0585,41.773,42.344,15.223,19.301,11.145,101.431,98.678,104.184,66.9775,65.335,68.62,129.448,128.654,130.242,195.5405,194.39,196.691,154.945,155.201,154.689,232.2035,231.981,232.426
2023-10-13T12:00:00Z,15788,672,15701,38.533,38.533,,48.5,48.5,,866.941,866.941,,,,,0.06,46.8,44.9,48.7,129.2,120.6,137.8,28,27.4,28.6,23.6,25.2,22.2,8613.6625,8037.694,9189.631,2353.381,2234.72,2472.042,619.2175,598.862,639.573,112.3865,106.935,117.838,20.391,19.117,21.665,7.492,9.143,5.841,56.9175,55.019,58.816,40.3525,39.797,40.908,72.577,72.367,72.787,107.403,106.32,108.486,91.173,91.164,91.182,126.491,124.941,128.041
2023-10-13T13:00:00Z,19390,697,15821,42.034,42.034,,45.834,45.834,,866.94,866.94,,,,,0.06,30.8,29.7,31.9,87,81.4,92.5,24.4,23.8,24.9,34.1,36.2,32.2,5796.728,5428.242,6165.214,1572.1935,1494.585,1649.802,405.9385,394.095,417.782,75.9685,71.703,80.234,13.7025,12.551,14.854,5.14,6.221,4.059,38.7765,37.406,40.147,32.261,31.919,32.603,56.011,56.409,55.613,73.4935,72.888,74.099,73.385,73.454,73.316,86.6995,85.419,87.98
2023-10-13T14:00:00Z,22991,702,15928,44.8,44.8,,43.534,43.534,,866.946,866.946,,,,,0.06,28.8,27.8,29.7,81.3,76,86.6,23.8,23.1,24.3,36.3,38.5,34.2,5419.617,5067.885,5771.349,1471.1685,1404.125,1538.212,380.7505,368.849,392.652,72.9595,67.376,78.543,13.0505,11.697,14.404,4.9775,5.747,4.208,37.0425,35.94,38.145,31.6425,31.39,31.895,55.4075,55.754,55.061,70.845,70.21,71.48,72.444,72.223,72.665,83.7945,82.162,85.427
2023-10-13T15:00:00Z,26594,1194,15923,46.7,46.7,,42.067,42.067,,866.57,866.57,,,,,0.06,28.9,27.9,29.9,81,75.5,86.6,23.7,23.1,24.3,36.4,38.8,34.2,5401.099,5031.609,5770.589,1472.0185,1406.433,1537.604,382.2175,372.093,392.342,71.673,68.259,75.087,12.8885,11.914,13.863,4.82,5.752,3.888,37.889,36.747,39.031,32.2045,31.941,32.468,56.2465,56.755,55.738,72.1345,71.857,72.412,73.3765,73.501,73.252,85.201,84.319,86.083
2023-10-13T16:00:00Z,30194,564,15917,47.933,47.933,,40.633,40.633,,866.03,866.03,,,,,0.06,25.1,24.2,26,69.6,64.9,74.2,22.4,21.7,22.9,41.7,44.4,39.4,4637.5405,4325.092,4949.989,1265.8145,1208.397,1323.232,335.477,324.188,346.766,64.3355,59.666,69.005,12.4625,11.431,13.494,4.5915,5.714,3.469,32.625,31.596,33.654,28.3715,27.715,29.028,52.1935,52.096,52.291,63.2765,62.576,63.977,66.072,65.242,66.902,75.9255,74.633,77.218
2023-10-13T17:00:00Z,33795,625,15923,49.1,49.1,,39.6,39.6,,865.607,865.607,,,,,0.06,17.7,17,18.4,50.2,46.5,53.9,19.5,18.8,20.1,55.5,59.3,52.2,3346.6075,3099.888,3593.327,909.7455,865.025,954.466,232.451,221.983,242.919,43.4865,38.623,48.35,7.3245,6.576,8.073,2.934,3.381,2.487,23.467,22.692,24.242,22.4645,21.934,22.995,41.2885,40.699,41.878,45.125,44.029,46.221,50.915,49.638,52.192,52.842,51.114,54.57
