"DateTime","Average","MNUMS 181 A"
"2024-06-04 09:00:00",5.1,2.99
"2024-06-06 10:00:00",,7.389
"2024-06-06 11:00:00",,8.748
"2024-06-06 12:00:00",,6.596
"2024-06-06 13:00:00",,5.869
"2024-06-06 14:00:00",,4.997
"2024-06-06 15:00:00",,2.774
"2024-06-06 16:00:00",,2.408
"2024-06-06 17:00:00",,1.623
"2024-06-06 18:00:00",,0.996
"2024-06-06 19:00:00",,0.948
"2024-06-06 20:00:00",,0.996
"2024-06-06 21:00:00",,1.589
"2024-06-06 22:00:00",,4.046
"2024-06-06 23:00:00",,7.633
"2024-06-07 00:00:00",,8.236
"2024-06-07 01:00:00",,10.884
"2024-06-07 02:00:00",,10.135
"2024-06-07 03:00:00",,7.73
"2024-06-07 04:00:00",,6.615
"2024-06-07 05:00:00",,5.272
"2024-06-07 06:00:00",,4.67
"2024-06-07 07:00:00",,4.619
"2024-06-07 08:00:00",,5.889
"2024-06-07 09:00:00",,4.759
"2024-06-07 10:00:00",,4.502
"2024-06-07 11:00:00",,4.92
"2024-06-07 12:00:00",5.1,4.7
