"DateTime","Average","MNUMS 204 A","MNUMS 204 B"
"2024-06-04 12:00:00",7.3,7.68,5.328
"2024-06-06 10:00:00",,9.396,10.101
"2024-06-06 11:00:00",,11.321,11.964
"2024-06-06 12:00:00",,9.314,9.971
"2024-06-06 13:00:00",,8.175,8.889
"2024-06-06 14:00:00",,6.794,7.343
"2024-06-06 15:00:00",,4.143,4.528
"2024-06-06 16:00:00",,3.734,3.809
"2024-06-06 17:00:00",,2.457,2.534
"2024-06-06 18:00:00",,1.451,1.759
"2024-06-06 19:00:00",,1.51,1.781
"2024-06-06 20:00:00",,1.535,1.873
"2024-06-06 21:00:00",,2.348,2.47
"2024-06-06 22:00:00",,5.126,5.372
"2024-06-06 23:00:00",,9.871,10.532
"2024-06-07 00:00:00",,11.659,12.238
"2024-06-07 01:00:00",,14.559,15.618
"2024-06-07 02:00:00",,14.21,14.68
"2024-06-07 03:00:00",,10.886,11.448
"2024-06-07 04:00:00",,9.517,10.17
"2024-06-07 05:00:00",,7.729,8.231
"2024-06-07 06:00:00",,6.901,7.152
"2024-06-07 07:00:00",,6.77,7.19
"2024-06-07 08:00:00",,7.527,8.339
"2024-06-07 09:00:00",,6.476,6.811
"2024-06-07 10:00:00",,6.097,6.435
"2024-06-07 11:00:00",,6.784,7.096
"2024-06-07 12:00:00",7.3,6.059,6.316
