time_stamp,uptime,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-06-14T02:40:00Z,774,535,13106,27.75,27.75,,83,83,,864.697,864.697,,,,,0.01,3.6,3.8,3.4,12.2,12.9,11.5,9,9.4,8.6,158.4,152.9,164.3,812.405,861.42,763.39,221.1225,225.893,216.352,36.2175,38.37,34.065,3.424,3.76,3.088,0.8845000000000001,0.902,0.867,0.395,0.358,0.432,3.564,3.55,3.578,3.564,3.55,3.578,5.355,5.553,5.157,5.355,5.553,5.157,5.9855,6.123,5.848,5.9855,6.123,5.848
2023-06-14T02:50:00Z,1313,384,14344,26.2,26.2,,84.2,84.2,,864.638,864.638,,,,,0.01,3.4,3.6,3.3,11.5,11.7,11.3,8.7,8.7,8.6,164.1,162.6,165.5,765.148,776.774,753.522,216.767,219.784,213.75,33.568,35.916,31.22,2.832,3.24,2.424,0.827,0.842,0.812,0.382,0.366,0.398,3.457,3.508,3.406,3.457,3.508,3.406,5.0440000000000005,5.41,4.678,5.0440000000000005,5.41,4.678,5.575,5.924,5.226,5.575,5.924,5.226
2023-06-14T03:00:00Z,1913,357,14592,25.4,25.4,,85,85,,864.638,864.638,,,,,0.01,3.6,3.6,3.6,12.1,11.9,12.4,9,8.9,9.1,158.8,160.6,157,809.116,793.844,824.388,226.618,221.872,231.364,35.33,37.33,33.33,3.4299999999999997,4.436,2.424,0.683,0.752,0.614,0.39799999999999996,0.222,0.574,3.6260000000000003,3.426,3.826,3.6260000000000003,3.426,3.826,5.504,5.636,5.372,5.504,5.636,5.372,5.9830000000000005,6.114,5.852,5.9830000000000005,6.114,5.852
2023-06-14T03:10:00Z,2513,421,16984,25,25,,86,86,,864.614,864.614,,,,,0.01,3.7,3.7,3.7,12.1,12.3,11.9,9,9.1,8.9,159,157.5,160.6,806.787,819.826,793.748,227.62,229.428,225.812,35.979,35.724,36.234,2.521,2.362,2.68,0.527,0.59,0.464,0.249,0.124,0.374,3.793,3.928,3.658,3.793,3.928,3.658,5.525,5.638,5.412,5.525,5.638,5.412,5.865,5.97,5.76,5.865,5.97,5.76
2023-06-14T03:20:00Z,3113,828,17018,24,24,,86,86,,864.522,864.522,,,,,0.01,3.5,3.4,3.6,11.6,11.5,11.6,8.7,8.7,8.7,163.4,163.6,163.3,770.091,769.148,771.034,216.067,213.858,218.276,33.953,31.658,36.248,2.113,1.986,2.24,0.599,0.764,0.434,0.354,0.494,0.214,3.572,3.444,3.7,3.572,3.444,3.7,5.186,5.046,5.326,5.186,5.046,5.326,5.573,5.59,5.556,5.573,5.59,5.556
2023-06-14T03:30:00Z,3713,384,17304,24,24,,86,86,,864.466,864.466,,,,,0.01,3.4,3.5,3.4,11.3,11.5,11.1,8.6,8.7,8.4,165.7,163.9,167.5,751.97,766.238,737.702,208.596,211.546,205.646,33.89,34.362,33.418,2.4610000000000003,2.428,2.494,0.46699999999999997,0.482,0.452,0.21000000000000002,0.092,0.328,3.37,3.404,3.336,3.37,3.404,3.336,4.991,5.118,4.864,4.991,5.118,4.864,5.351,5.434,5.268,5.351,5.434,5.268
2023-06-14T03:40:00Z,4313,373,17304,23,23,,87,87,,864.414,864.414,,,,,0.01,3.3,3.3,3.3,10.9,11,10.7,8.4,8.4,8.3,169.1,167.8,170.3,726.115,735.614,716.616,204.127,205.316,202.938,32.992999999999995,32.342,33.644,3.02,2.916,3.124,0.603,0.622,0.584,0.33199999999999996,0.286,0.378,3.255,3.334,3.176,3.255,3.334,3.176,4.89,5.01,4.77,4.89,5.01,4.77,5.343,5.486,5.2,5.343,5.486,5.2
2023-06-14T03:50:00Z,4913,374,16984,23,23,,87.8,87.8,,864.348,864.348,,,,,0.01,3.2,3.4,3,11.1,11.8,10.3,8.4,8.8,8,167.7,161,174.8,736.818,789.914,683.722,206.85199999999998,217.884,195.82,30.667,34.03,27.304,2.681,3.636,1.726,0.344,0.492,0.196,0.11,0.162,0.058,3.3120000000000003,3.552,3.072,3.3120000000000003,3.552,3.072,4.898,5.512,4.284,4.898,5.512,4.284,5.195,5.99,4.4,5.195,5.99,4.4
2023-06-14T04:00:00Z,5513,386,17304,23,23,,88,88,,864.314,864.314,,,,,0.01,3.4,3.5,3.2,11.4,11.7,11.1,8.6,8.8,8.5,164.7,162.3,167.2,759.929,779.294,740.564,213.497,217.83,209.164,31.882,33.804,29.96,2.105,2.122,2.088,0.517,0.722,0.312,0.249,0.372,0.126,3.34,3.378,3.302,3.34,3.378,3.302,4.868,4.96,4.776,4.868,4.96,4.776,5.244,5.482,5.006,5.244,5.482,5.006
2023-06-14T04:10:00Z,6113,360,17304,23,23,,88.2,88.2,,864.214,864.214,,,,,0.01,3.3,3.4,3.2,11,11.3,10.8,8.4,8.5,8.3,167.7,165.9,169.5,736.5630000000001,750.652,722.474,206.892,210.168,203.616,32.754,34.628,30.88,2.5549999999999997,3.024,2.086,0.646,0.914,0.378,0.326,0.458,0.194,3.388,3.622,3.154,3.388,3.622,3.154,4.818,5.162,4.474,4.818,5.162,4.474,5.32,5.854,4.786,5.32,5.854,4.786
2023-06-14T04:20:00Z,6713,391,16984,23,23,,89,89,,864.018,864.018,,,,,0.01,3.2,3.3,3.1,10.9,11,10.7,8.3,8.4,8.2,169.3,167.7,170.9,724.222,736.568,711.876,203.399,206.4,200.398,31.978,33.836,30.12,2.715,3.162,2.268,0.908,1.022,0.794,0.485,0.386,0.584,3.129,3.166,3.092,3.129,3.166,3.092,4.693,4.938,4.448,4.693,4.938,4.448,5.3309999999999995,5.62,5.042,5.3309999999999995,5.62,5.042
2023-06-14T04:30:00Z,7313,366,17304,23,23,,89,89,,863.904,863.904,,,,,0.01,3.2,3.2,3.2,10.8,11.1,10.6,8.3,8.5,8.2,169.4,167.4,171.5,723.159,738.826,707.492,201.858,203.564,200.152,30.962000000000003,31.382,30.542,2.187,2.34,2.034,0.566,0.826,0.306,0.321,0.432,0.21,3.192,3.292,3.092,3.192,3.292,3.092,4.702,4.854,4.55,4.702,4.854,4.55,5.089,5.452,4.726,5.089,5.452,4.726
2023-06-14T04:40:00Z,7913,365,17304,22.2,22.2,,89,89,,863.762,863.762,,,,,0.01,3.1,3.1,3,10.3,10.4,10.2,8,8.1,8,174.4,173.9,174.9,686.865,690.574,683.156,193.83800000000002,193.74,193.936,30.954,31.93,29.978,3.3360000000000003,3.678,2.994,0.738,0.838,0.638,0.45899999999999996,0.51,0.408,3.082,3.048,3.116,3.082,3.048,3.116,4.726,4.784,4.668,4.726,4.784,4.668,5.345000000000001,5.532,5.158,5.345000000000001,5.532,5.158
2023-06-14T04:50:00Z,8513,363,17304,22,22,,89,89,,863.746,863.746,,,,,0.01,3.1,3.1,3.1,10.3,10.4,10.3,8.1,8.1,8,174.1,173.8,174.4,688.904,690.912,686.896,193.279,195.334,191.224,30.237000000000002,30.272,30.202,2.483,2.77,2.196,0.72,0.876,0.564,0.435,0.498,0.372,3.0620000000000003,2.95,3.174,3.0620000000000003,2.95,3.174,4.607,4.658,4.556,4.607,4.658,4.556,5.121,5.286,4.956,5.121,5.286,4.956
2023-06-14T05:00:00Z,9113,372,16984,21.8,21.8,,89,89,,863.718,863.718,,,,,0.01,2.9,2.9,2.9,9.8,9.9,9.7,7.8,7.8,7.7,179.3,178.3,180.4,652.576,659.568,645.584,185.267,185.806,184.728,28.71,27.942,29.478,2.873,2.96,2.786,0.84,0.944,0.736,0.595,0.502,0.688,2.854,2.834,2.874,2.854,2.834,2.874,4.179,4.24,4.118,4.179,4.24,4.118,4.795,4.884,4.706,4.795,4.884,4.706
2023-06-14T05:10:00Z,9713,364,16664,21,21,,89,89,,863.62,863.62,,,,,0.01,3.1,3.2,3.1,10.5,10.7,10.3,8.2,8.3,8.1,172.6,170.8,174.3,700.0260000000001,712.748,687.304,195.638,197.568,193.708,30.951,31.662,30.24,2.471,2.816,2.126,0.408,0.598,0.218,0.354,0.49,0.218,2.888,3.006,2.77,2.888,3.006,2.77,4.445,4.67,4.22,4.445,4.67,4.22,4.761,5.168,4.354,4.761,5.168,4.354
2023-06-14T05:20:00Z,10313,378,16962,21,21,,88.6,88.6,,863.378,863.378,,,,,0.01,3,3,2.9,10.1,10.2,10,7.9,8,7.9,176.5,175.3,177.6,672.1959999999999,680.28,664.112,190.111,191.97,188.252,28.472,29.674,27.27,2.274,2.492,2.056,0.571,0.948,0.194,0.34099999999999997,0.586,0.096,2.974,3.12,2.828,2.974,3.12,2.828,4.356999999999999,4.584,4.13,4.356999999999999,4.584,4.13,4.788,5.306,4.27,4.788,5.306,4.27
