time_stamp;uptime;pa_latency;memory;humidity;humidity_a;humidity_b;temperature;temperature_a;temperature_b;pressure;pressure_a;pressure_b;voc;voc_a;voc_b;analog_input;pm2.5_alt;pm2.5_alt_a;pm2.5_alt_b;scattering_coefficient;scattering_coefficient_a;scattering_coefficient_b;deciviews;deciviews_a;deciviews_b;visual_range;visual_range_a;visual_range_b;0.3_um_count;0.3_um_count_a;0.3_um_count_b;0.5_um_count;0.5_um_count_a;0.5_um_count_b;1.0_um_count;1.0_um_count_a;1.0_um_count_b;2.5_um_count;2.5_um_count_a;2.5_um_count_b;5.0_um_count;5.0_um_count_a;5.0_um_count_b;10.0_um_count;10.0_um_count_a;10.0_um_count_b;pm1.0_cf_1;pm1.0_cf_1_a;pm1.0_cf_1_b;pm1.0_atm;pm1.0_atm_a;pm1.0_atm_b;pm2.5_atm;pm2.5_atm_a;pm2.5_atm_b;pm2.5_cf_1;pm2.5_cf_1_a;pm2.5_cf_1_b;pm10.0_atm;pm10.0_atm_a;pm10.0_atm_b;pm10.0_cf_1;pm10.0_cf_1_a;pm10.0_cf_1_b
2023-06-14T04:20:00Z;954;403;15032;24;24;;89;89;;864.537;864.537;;;;;0.01;3.6;3.7;3.6;11.8;12.3;11.3;8.8;9.1;8.6;161.3;157.6;165.1;787.88;819.33;756.43;203.8085;208.13;199.487;38.443;38.443;38.443;3.27;3.203;3.337;0.6165;0.5;0.733;0.2;0.117;0.283;3.1715;3.13;3.213;3.1715;3.13;3.213;5.175;5.267;5.083;5.175;5.267;5.083;5.742;5.617;5.867;5.742;5.617;5.867
2023-06-14T04:30:00Z;1433;430;17016;24;24;;88.8;88.8;;864.366;864.366;;;;;0.01;3.5;3.4;3.6;11.4;11.3;11.5;8.6;8.6;8.7;164.6;165.5;163.8;760.445;753.526;767.364;200.253;196.898;203.608;37.711;35.684;39.738;3.716;3.37;4.062;0.493;0.338;0.648;0.23;0.188;0.272;3.121;3.088;3.154;3.121;3.088;3.154;5.203;5.048;5.358;5.203;5.048;5.358;5.641;5.292;5.99;5.641;5.292;5.99
2023-06-14T04:40:00Z;2033;402;17656;23.2;23.2;;89;89;;864.206;864.206;;;;;0.01;3.3;3.2;3.3;10.8;10.5;11;8.3;8.2;8.4;170.1;172.2;168.1;718.134;702.666;733.602;189.237;184.034;194.44;34.371;34.2;34.542;2.888;2.894;2.882;0.629;0.74;0.518;0.169;0.186;0.152;2.893;2.744;3.042;2.893;2.744;3.042;4.527;4.338;4.716;4.527;4.338;4.716;5.01;4.816;5.204;5.01;4.816;5.204
2023-06-14T04:50:00Z;2633;363;17016;23;23;;89;89;;864.282;864.282;;;;;0.01;3.6;3.6;3.5;10.8;10.7;10.9;8.3;8.3;8.3;170;170.8;169.2;718.973;713.228;724.718;191.87;188.578;195.162;39.94;41.188;38.692;3.702;3.48;3.924;0.823;0.93;0.716;0.33;0.296;0.364;2.809;2.702;2.916;2.809;2.702;2.916;4.832;4.606;5.058;4.832;4.606;5.058;5.461;5.276;5.646;5.461;5.276;5.646
2023-06-14T05:00:00Z;3233;372;17336;22.8;22.8;;89;89;;864.252;864.252;;;;;0.01;3.2;3.2;3.2;10.3;10.1;10.4;8;8;8.1;174.8;176.1;173.5;684.087;674.82;693.354;181.776;176.512;187.04;33.114;33.902;32.326;2.713;2.828;2.598;0.33;0.176;0.484;0.189;0;0.378;2.683;2.448;2.918;2.683;2.448;2.918;4.362;4.094;4.63;4.362;4.094;4.63;4.637;4.24;5.034;4.637;4.24;5.034
2023-06-14T05:10:00Z;3833;372;17016;22;22;;89;89;;864.232;864.232;;;;;0.01;3.4;3.4;3.4;10.9;10.8;11.1;8.4;8.3;8.5;168.6;170.2;167.1;729.32;717.69;740.95;195.735;191.416;200.054;35.932;36.006;35.858;3.085;2.758;3.412;0.628;0.57;0.686;0.232;0.16;0.304;3.06;2.888;3.232;3.06;2.888;3.232;4.897;4.768;5.026;4.897;4.768;5.026;5.428;5.154;5.702;5.428;5.154;5.702
2023-06-14T05:20:00Z;4433;380;17016;22;22;;89;89;;864.17;864.17;;;;;0.01;3.6;3.6;3.5;10.9;11;10.8;8.4;8.4;8.3;168.8;168;169.6;728.031;734.118;721.944;195.785;195.616;195.954;38.962;39.678;38.246;3.307;2.822;3.792;0.76;0.758;0.762;0.355;0.182;0.528;3.052;3.138;2.966;3.052;3.138;2.966;5.007;5.05;4.964;5.007;5.05;4.964;5.568;5.572;5.564;5.568;5.572;5.564
2023-06-14T05:30:00Z;5033;360;17656;22;22;;89;89;;864.12;864.12;;;;;0.01;3.3;3.5;3.1;10.6;10.7;10.5;8.2;8.3;8.1;171.7;170.6;172.8;706.654;714.768;698.54;184.772;185.746;183.798;35.225;37.568;32.882;2.91;2.396;3.424;0.352;0.446;0.258;0.086;0.096;0.076;2.757;2.762;2.752;2.757;2.762;2.752;4.519;4.452;4.586;4.519;4.452;4.586;4.84;4.762;4.918;4.84;4.762;4.918
2023-06-14T05:40:00Z;5633;380;16696;22;22;;89;89;;863.956;863.956;;;;;0.01;3.4;3.4;3.4;10.6;10.5;10.7;8.2;8.2;8.3;171.3;172.2;170.4;709.487;702.844;716.13;189.563;183.536;195.59;35.975;36.86;35.09;2.691;2.662;2.72;0.314;0.362;0.266;0.132;0.16;0.104;3.011;2.884;3.138;3.011;2.884;3.138;4.72;4.672;4.768;4.72;4.672;4.768;5.014;4.956;5.072;5.014;4.956;5.072
2023-06-14T05:50:00Z;6233;366;17656;22;22;;89;89;;863.958;863.958;;;;;0.01;3.4;3.5;3.4;11.1;11.1;11.1;8.5;8.4;8.5;167.5;167.6;167.5;737.878;737.54;738.216;195.454;193.572;197.336;35.077;35.556;34.598;2.327;1.95;2.704;0.428;0.348;0.508;0.084;0.084;0.084;2.984;2.904;3.064;2.984;2.904;3.064;4.618;4.452;4.784;4.618;4.452;4.784;4.902;4.656;5.148;4.902;4.656;5.148
2023-06-14T06:00:00Z;6833;380;17016;22;22;;89;89;;863.876;863.876;;;;;0.01;3.4;3.4;3.3;10.8;10.7;10.9;8.3;8.2;8.3;170.1;171;169.2;718.18;711.732;724.628;188.217;183.876;192.558;34.943;35.524;34.362;2.424;2.24;2.608;0.362;0.188;0.536;0.125;0;0.25;2.746;2.494;2.998;2.746;2.494;2.998;4.442;4.29;4.594;4.442;4.29;4.594;4.762;4.434;5.09;4.762;4.434;5.09
2023-06-14T06:10:00Z;7433;395;17016;22;22;;89;89;;863.78;863.78;;;;;0.01;3.5;3.6;3.4;11;11.1;11;8.4;8.5;8.4;167.9;167.4;168.4;735.113;738.798;731.428;194.068;193.704;194.432;36.068;37.128;35.008;1.961;1.774;2.148;0.304;0.348;0.26;0.124;0.248;0;2.882;2.852;2.912;2.882;2.852;2.912;4.526;4.534;4.518;4.526;4.534;4.518;4.858;4.798;4.918;4.858;4.798;4.918
