time_stamp,rssi,uptime,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-06-13T11:00:00Z,-63,898,364,14264,18,18,18,87,87,87,860.185,860.185,860.185,25.32,,25.32,1.545,4.1,4.1,,11.2,11.2,,8.5,8.5,,166.2,166.2,,747.775,747.775,,221.625,221.625,,47.025,47.025,,3.815,3.815,,1.56,1.56,,0.38,0.38,,3.53,3.53,,3.53,3.53,,5.83,5.83,,5.83,5.83,,7.01,7.01,,7.01,7.01,
2023-06-13T11:10:00Z,-64,1316,376,16715,17.2,17.2,17.2,88.6,88.6,88.6,860.25,860.25,860.25,29.486,,29.486,0.926,3.7,3.7,,10.4,10.4,,8.1,8.1,,173.8,173.8,,691.294,691.294,,202.76,202.76,,40.832,40.832,,3.612,3.612,,1.768,1.768,,0.43,0.43,,2.948,2.948,,2.948,2.948,,4.984,4.984,,4.984,4.984,,6.186,6.186,,6.186,6.186,
2023-06-13T11:20:00Z,-64,1916,359,17264,17,17,17,89,89,89,860.286,860.286,860.286,30.184,,30.184,0.906,3.4,3.4,,10.3,10.3,,8,8,,174.4,174.4,,686.924,686.924,,199.578,199.578,,37.724,37.724,,4.86,4.86,,1.848,1.848,,0.738,0.738,,3.108,3.108,,3.108,3.108,,5.102,5.102,,5.102,5.102,,6.392,6.392,,6.392,6.392,
2023-06-13T11:30:00Z,-61,2516,370,16624,17.6,17.6,17.6,89,89,89,860.264,860.264,860.264,26.684,,26.684,1.25,4.1,4.1,,12.3,12.3,,9.1,9.1,,157.6,157.6,,819.078,819.078,,240.364,240.364,,46.374,46.374,,5.746,5.746,,2.402,2.402,,0.88,0.88,,4.022,4.022,,4.022,4.022,,6.382,6.382,,6.382,6.382,,8.016,8.016,,8.016,8.016,
2023-06-13T11:40:00Z,-63,3116,379,17264,18.8,18.8,18.8,88.8,88.8,88.8,860.434,860.434,860.434,25,,25,1.028,5.3,5.3,,15,15,,10.3,10.3,,139,139,,1003.02,1003.02,,295.252,295.252,,62.38,62.38,,8.148,8.148,,2.168,2.168,,0.708,0.708,,5.132,5.132,,5.132,5.132,,8.74,8.74,,8.74,8.74,,10.358,10.358,,10.358,10.358,
2023-06-13T11:50:00Z,-64,3716,364,16944,20.6,20.6,20.6,88,88,88,860.344,860.344,860.344,19.894,,19.894,0.994,7.4,7.4,,20.2,20.2,,12.3,12.3,,113.8,113.8,,1348.206,1348.206,,402.186,402.186,,88.484,88.484,,10.832,10.832,,3.482,3.482,,1.09,1.09,,7.112,7.112,,7.112,7.112,,12.13,12.13,,12.13,12.13,,14.532,14.532,,14.532,14.532,
2023-06-13T12:00:00Z,-62,4316,361,16624,21.4,21.4,21.4,88,88,88,860.31,860.31,860.31,25,,25,0.978,7.6,7.6,,21.2,21.2,,12.7,12.7,,110.1,110.1,,1412.93,1412.93,,416.59,416.59,,88.418,88.418,,9.506,9.506,,2.546,2.546,,0.786,0.786,,7.586,7.586,,7.586,7.586,,12.446,12.446,,12.446,12.446,,14.198,14.198,,14.198,14.198,
2023-06-13T12:10:00Z,-61,4916,520,16624,22,22,22,88,88,88,860.306,860.306,860.306,23.844,,23.844,0.992,7.6,7.6,,22.3,22.3,,13,13,,106,106,,1487.91,1487.91,,441.58,441.58,,86.564,86.564,,11.47,11.47,,2.99,2.99,,0.522,0.522,,8.004,8.004,,8.004,8.004,,13.132,13.132,,13.132,13.132,,15.26,15.26,,15.26,15.26,
2023-06-13T12:20:00Z,-63,5516,377,16624,22.6,22.6,22.6,88,88,88,860.536,860.536,860.536,24.404,,24.404,1.002,7.7,7.7,,21.9,21.9,,12.9,12.9,,107.7,107.7,,1457.118,1457.118,,433.416,433.416,,90.504,90.504,,12.39,12.39,,2.882,2.882,,0.734,0.734,,7.892,7.892,,7.892,7.892,,13.212,13.212,,13.212,13.212,,15.448,15.448,,15.448,15.448,
2023-06-13T12:30:00Z,-66,6116,452,17584,22.6,22.6,22.6,88,88,88,860.856,860.856,860.856,25.042,,25.042,0.934,6.7,6.7,,20,20,,12.2,12.2,,114.7,114.7,,1333.552,1333.552,,394.926,394.926,,73.91,73.91,,9.03,9.03,,2.466,2.466,,0.58,0.58,,7.222,7.222,,7.222,7.222,,11.242,11.242,,11.242,11.242,,12.856,12.856,,12.856,12.856,
