time_stamp,uptime,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-06-13T11:20:00Z,368,383.0,17722,23.4,23.4,,81.8,81.8,,860.842,860.842,,,,,0.02,4.3,4.8,3.9,12.9,13.7,12.2,9.4,9.7,9.0,152.9,147.6,158.6,861.779,912.868,810.69,237.053,253.086,221.02,47.829,53.234,42.424,4.139,3.498,4.78,0.821,0.756,0.886,0.307,0.372,0.242,3.655,4.008,3.302,3.655,4.008,3.302,6.232,6.692,5.772,6.232,6.692,5.772,6.792,7.166,6.418,6.792,7.166,6.418
2023-06-13T11:30:00Z,907,365.0,17360,22.5,22.5,,84.25,84.25,,860.815,860.815,,,,,0.02,4.9,5.0,4.7,14.3,14.6,14.1,10.0,10.1,9.9,143.3,141.7,145.0,956.0525,973.36,938.745,262.227,266.887,257.567,53.1714999999999,52.97,53.373,3.63,1.645,5.615,0.89,0.455,1.325,0.269,0.098,0.44,4.42399999999999,4.67,4.178,4.42399999999999,4.67,4.178,6.95599999999999,6.795,7.117,6.95599999999999,6.795,7.117,7.5915,7.078,8.105,7.5915,7.078,8.105
2023-06-14T01:20:00Z,299,375.0,18312,31.75,31.75,,80.5,80.5,,864.773,864.773,,,,,0.02,8.0,8.8,7.3,23.9,24.7,23.1,13.5,13.8,13.3,100.9,98.4,103.4,1592.621,1645.855,1539.387,437.941,454.077,421.805,89.051,98.797,79.305,7.845,6.38,9.31,1.415,0.76,2.07,0.508,0.168,0.848,8.0375,8.24,7.835,8.0375,8.24,7.835,12.715,13.188,12.242,12.715,13.188,12.242,13.7355,13.648,13.823,13.7355,13.648,13.823
2023-06-14T01:30:00Z,839,355.0,18216,30.4,30.4,,82.4,82.4,,864.794,864.794,,,,,0.02,6.2,6.5,5.8,18.6,19.1,18.1,11.7,11.9,11.6,120.6,118.6,122.8,1240.389,1272.022,1208.756,338.432,347.514,329.35,66.41,70.07,62.75,4.926,4.03,5.822,1.226,0.62,1.832,0.450999999999999,0.212,0.69,6.087,6.26,5.914,6.087,6.26,5.914,9.307,9.448,9.166,9.307,9.448,9.166,10.153,9.814,10.492,10.153,9.814,10.492
2023-06-14T01:40:00Z,1439,413.0,17576,28.8,28.8,,83.6,83.6,,864.746,864.746,,,,,0.02,5.0,5.2,4.8,15.9,16.3,15.6,10.7,10.8,10.5,134.0,132.1,136.1,1060.91899999999,1084.964,1036.874,287.928,295.016,280.84,52.332,53.796,50.868,3.798,2.634,4.962,0.635,0.256,1.014,0.276999999999999,0.074,0.48,4.953,5.158,4.748,4.953,5.158,4.748,7.561,7.614,7.508,7.561,7.614,7.508,8.08,7.742,8.418,8.08,7.742,8.418
2023-06-14T01:50:00Z,2039,369.0,17896,28.0,28.0,,84.8,84.8,,864.79,864.79,,,,,0.02,5.0,5.1,4.9,16.0,16.3,15.7,10.7,10.8,10.6,133.5,132.0,135.0,1067.462,1085.996,1048.928,288.53,292.678,284.382,52.333,52.49,52.176,3.99899999999999,2.706,5.292,0.761,0.504,1.018,0.283,0.324,0.242,5.063,5.266,4.86,5.063,5.266,4.86,7.541,7.532,7.55,7.541,7.532,7.55,8.105,7.93,8.28,8.105,7.93,8.28
2023-06-14T02:00:00Z,2639,358.0,17896,27.2,27.2,,85.6,85.6,,864.734,864.734,,,,,0.02,4.3,4.5,4.1,13.7,14.3,13.1,9.7,10.0,9.4,147.7,143.9,151.8,910.958,950.276,871.64,245.557,255.618,235.496,44.762,45.478,44.046,3.65,2.274,5.026,0.7,0.54,0.86,0.278999999999999,0.212,0.346,4.166,4.414,3.918,4.166,4.414,3.918,6.414,6.32,6.508,6.414,6.32,6.508,6.874,6.666,7.082,6.874,6.666,7.082
2023-06-14T02:10:00Z,3239,360.0,18216,26.0,26.0,,86.0,86.0,,864.668,864.668,,,,,0.02,3.6,3.7,3.6,12.1,12.5,11.7,9.0,9.2,8.7,159.3,156.2,162.6,804.473,831.984,776.962,215.966,223.324,208.608,36.371,35.898,36.844,2.614,2.27,2.958,0.52,0.476,0.564,0.197,0.212,0.182,3.735,3.854,3.616,3.735,3.854,3.616,5.382,5.456,5.308,5.382,5.456,5.308,5.739,5.774,5.704,5.739,5.774,5.704
2023-06-14T02:20:00Z,3839,476.0,18216,26.0,26.0,,86.2,86.2,,864.624,864.624,,,,,0.02,3.6,3.8,3.4,11.7,11.9,11.4,8.7,8.9,8.6,162.6,160.6,164.7,776.702,793.14,760.264,211.495999999999,218.344,204.648,36.8739999999999,39.922,33.826,2.723,2.396,3.05,0.398999999999999,0.206,0.592,0.187,0.042,0.332,3.364,3.54,3.188,3.364,3.54,3.188,5.313,5.466,5.16,5.313,5.466,5.16,5.576,5.552,5.6,5.576,5.552,5.6
2023-06-14T02:30:00Z,4439,430.0,17576,25.8,25.8,,87.0,87.0,,864.48,864.48,,,,,0.02,3.7,3.8,3.6,11.8,12.1,11.5,8.8,9.0,8.7,161.2,158.8,163.7,788.329999999999,808.576,768.084,214.728,221.238,208.218,37.34,37.966,36.714,2.409,1.964,2.854,0.533,0.458,0.608,0.017,0.034,0.0,3.631,3.826,3.436,3.631,3.826,3.436,5.293,5.45,5.136,5.293,5.45,5.136,5.662,5.706,5.618,5.662,5.706,5.618
