time_stamp,uptime,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-06-14T04:10:00Z,1073,,15328,26,26,,85,85,,864.86,864.86,,,,,0.01,3.3,3.4,3.2,10.1,9.5,10.7,8,7.6,8.3,176.1,182,170.5,675.05,634.76,715.34,186.19,176.36,196.02,35.2,37.9,32.5,2.525,1.69,3.36,0.24,0.48,0,0,0,0,2.7800000000000002,2.52,3.04,2.7800000000000002,2.52,3.04,4.574999999999999,4.26,4.89,4.574999999999999,4.26,4.89,4.77,4.5,5.04,4.77,4.5,5.04
2023-06-14T04:20:00Z,1434,464,16958,25.4,25.4,,86.4,86.4,,864.776,864.776,,,,,0.01,3.3,3.3,3.3,10.1,9.6,10.6,7.9,7.7,8.2,176.4,181.3,171.8,672.529,639.518,705.54,183.49,178.392,188.588,35.111999999999995,37.052,33.172,2.354,2.538,2.17,0.639,1.036,0.242,0.211,0.422,0,2.779,2.584,2.974,2.779,2.584,2.974,4.43,4.25,4.61,4.43,4.25,4.61,4.893,4.946,4.84,4.893,4.946,4.84
2023-06-14T04:30:00Z,2033,365,16824,24.2,24.2,,87.6,87.6,,864.672,864.672,,,,,0.01,3.2,3.2,3.2,10.3,9.9,10.6,8,7.8,8.2,174.9,177.9,171.9,683.348,662.026,704.67,187.916,183.162,192.67,33.408,34.606,32.21,3.046,3.07,3.022,0.709,0.814,0.604,0.107,0.214,0,2.974,2.996,2.952,2.974,2.996,2.952,4.787,4.774,4.8,4.787,4.774,4.8,5.239000000000001,5.304,5.174,5.239000000000001,5.304,5.174
2023-06-14T04:40:00Z,2633,367,17144,23.6,23.6,,88.4,88.4,,864.542,864.542,,,,,0.01,3.2,3.2,3.2,9.7,9.3,10.2,7.7,7.5,8,179.8,184.1,175.7,649.52,621.184,677.856,180.66899999999998,175.254,186.084,33.373,34.754,31.992,2.351,2.522,2.18,0.625,0.65,0.6,0.23299999999999998,0.308,0.158,2.766,2.526,3.006,2.766,2.526,3.006,4.384,4.298,4.47,4.384,4.298,4.47,4.8260000000000005,4.726,4.926,4.8260000000000005,4.726,4.926
2023-06-14T04:50:00Z,3233,364,17144,22.6,22.6,,89,89,,864.548,864.548,,,,,0.01,3.1,3.3,2.9,9.6,9.5,9.6,7.7,7.6,7.7,181.3,181.9,180.8,639.262,635.826,642.698,174.262,179.274,169.25,33.495,36.18,30.81,3.091,3.176,3.006,0.741,0.916,0.566,0.301,0.53,0.072,2.58,2.68,2.48,2.58,2.68,2.48,4.2780000000000005,4.42,4.136,4.2780000000000005,4.42,4.136,4.872999999999999,5.148,4.598,4.872999999999999,5.148,4.598
2023-06-14T05:00:00Z,3833,360,16504,22,22,,89.2,89.2,,864.51,864.51,,,,,0.01,3,3,2.9,9.3,9.2,9.4,7.5,7.4,7.5,184.5,185.8,183.3,618.51,610.858,626.162,168.165,168.136,168.194,31.525,31.448,31.602,2.6,1.982,3.218,0.7170000000000001,1.03,0.404,0.245,0.49,0,2.517,2.504,2.53,2.517,2.504,2.53,4.172000000000001,3.936,4.408,4.172000000000001,3.936,4.408,4.68,4.654,4.706,4.68,4.654,4.706
2023-06-14T05:10:00Z,4433,383,16824,21.2,21.2,,89.2,89.2,,864.494,864.494,,,,,0.01,3.1,3.2,3,9.6,9.4,9.9,7.7,7.5,7.9,180.7,183.7,177.9,643.248,624.016,662.48,176.96300000000002,173.62,180.306,32.954,34.784,31.124,2.635,2.442,2.828,0.427,0.488,0.366,0.08,0.16,0,2.66,2.534,2.786,2.66,2.534,2.786,4.427,4.304,4.55,4.427,4.304,4.55,4.726,4.642,4.81,4.726,4.642,4.81
2023-06-14T05:20:00Z,5033,377,17144,21,21,,90,90,,864.454,864.454,,,,,0.01,3,3,3,9.4,8.9,9.9,7.6,7.3,7.8,183.2,188.7,178,627.3900000000001,592.816,661.964,169.44299999999998,162.204,176.682,31.954,33.372,30.536,2.472,2.264,2.68,0.5840000000000001,0.66,0.508,0.161,0.322,0,2.474,2.3,2.648,2.474,2.3,2.648,3.989,3.85,4.128,3.989,3.85,4.128,4.3919999999999995,4.334,4.45,4.3919999999999995,4.334,4.45
2023-06-14T05:30:00Z,5633,372,16824,21,21,,90,90,,864.38,864.38,,,,,0.01,3.2,3.3,3,9.6,9.5,9.7,7.7,7.6,7.7,181.2,182.3,180,640.393,632.862,647.924,176.44,177.382,175.498,33.763000000000005,36.054,31.472,2.267,1.594,2.94,0.671,0.622,0.72,0.056,0.112,0,2.575,2.55,2.6,2.575,2.55,2.6,4.15,4.134,4.166,4.15,4.134,4.166,4.573,4.492,4.654,4.573,4.492,4.654
2023-06-14T05:40:00Z,6233,371,16824,21,21,,90,90,,864.242,864.242,,,,,0.01,3,3.1,2.8,9.4,9.2,9.7,7.6,7.4,7.7,182.9,185.4,180.5,628.9100000000001,612.952,644.868,173.43,171.028,175.832,30.994,34.108,27.88,2.714,3.144,2.284,0.571,0.86,0.282,0.214,0.428,0,2.573,2.452,2.694,2.573,2.452,2.694,4.173,4.216,4.13,4.173,4.216,4.13,4.545999999999999,4.778,4.314,4.545999999999999,4.778,4.314
