time_stamp,uptime,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-06-14T04:00:00Z,593,,15160,22,22,,89,89,,864.17,864.17,,,,,0,4.9,5,4.7,17,19.8,14.1,11.1,12.2,9.9,128.4,115.4,144.8,1131.435,1321.73,941.14,332.27,416.75,247.79,47.465,42,52.93,6.375,8,4.75,0.405,0.81,0,0.25,0.5,0,5.605,7.44,3.77,5.605,7.44,3.77,8.405,10.29,6.52,8.405,10.29,6.52,8.805,10.9,6.71,8.805,10.9,6.71
2023-06-14T04:10:00Z,954,371,15594,22,22,,89,89,,864.008,864.008,,,,,0,3.9,4,3.8,13.5,14,13.1,9.7,9.9,9.4,148.5,145.3,151.9,903.1310000000001,935.816,870.446,257.729,287.276,228.182,39.307,40.49,38.124,5.353,8.004,2.702,0.11299999999999999,0.054,0.172,0.086,0,0.172,4.291,4.774,3.808,4.291,4.774,3.808,6.754,7.756,5.752,6.754,7.756,5.752,6.906000000000001,7.862,5.95,6.906000000000001,7.862,5.95
2023-06-14T04:20:00Z,1553,370,16797,22,22,,89,89,,863.702,863.702,,,,,0,3.7,3.3,4.1,12,11.5,12.4,8.9,8.7,9.1,160.2,164,156.5,797.017,765.276,828.758,226.768,228.608,224.928,37.522999999999996,30.378,44.668,3.3529999999999998,3.04,3.666,0.5529999999999999,0.482,0.624,0.331,0.204,0.458,3.6109999999999998,3.746,3.476,3.6109999999999998,3.746,3.476,5.681,5.474,5.888,5.681,5.474,5.888,6.111000000000001,5.878,6.344,6.111000000000001,5.878,6.344
2023-06-14T04:30:00Z,2153,438,16744,21.8,21.8,,90,90,,863.712,863.712,,,,,0,3.6,3.7,3.5,11.6,11.9,11.3,8.7,8.9,8.6,162.9,160.7,165.2,774.365,792.934,755.796,217.024,230.49,203.558,35.879000000000005,35.92,35.838,2.003,1.636,2.37,0.268,0.328,0.208,0.167,0.202,0.132,3.417,3.82,3.014,3.417,3.82,3.014,5.1370000000000005,5.506,4.768,5.1370000000000005,5.506,4.768,5.386,5.78,4.992,5.386,5.78,4.992
2023-06-14T04:40:00Z,2753,378,17398,21,21,,90,90,,863.598,863.598,,,,,0,3.3,3.3,3.3,11,11,11.1,8.4,8.4,8.5,167.8,168.2,167.4,735.588,732.75,738.426,206.512,212.316,200.708,32.723,31.91,33.536,2.835,3.202,2.468,0.252,0.318,0.186,0.099,0.106,0.092,3.237,3.33,3.144,3.237,3.33,3.144,4.901999999999999,4.994,4.81,4.901999999999999,4.994,4.81,5.094,5.224,4.964,5.094,5.224,4.964
2023-06-14T04:50:00Z,3353,503,17352,20.6,20.6,,90,90,,863.58,863.58,,,,,0,3.4,3.3,3.4,10.9,10.9,10.9,8.4,8.4,8.4,168.7,168.9,168.6,728.539,727.204,729.874,204.311,212.162,196.46,34.22,33.438,35.002,3.146,3.464,2.828,0.20800000000000002,0.15,0.266,0,0,0,3.06,3.14,2.98,3.06,3.14,2.98,4.901,5.056,4.746,4.901,5.056,4.746,5.12,5.266,4.974,5.12,5.266,4.974
2023-06-14T05:00:00Z,3953,357,16392,20,20,,90,90,,863.55,863.55,,,,,0,3.2,3.1,3.3,10.5,10.5,10.4,8.1,8.2,8.1,172.7,172.1,173.3,698.8910000000001,703.082,694.7,193.497,199.422,187.572,32.532,30.64,34.424,2.507,2.462,2.552,0.17600000000000002,0.272,0.08,0.078,0.084,0.072,2.955,3.014,2.896,2.955,3.014,2.896,4.709,4.688,4.73,4.709,4.688,4.73,4.844,4.876,4.812,4.844,4.876,4.812
2023-06-14T05:10:00Z,4553,358,16712,20,20,,90,90,,863.558,863.558,,,,,0,3.5,3.4,3.6,11.5,11.4,11.6,8.7,8.6,8.7,163.7,164.5,162.9,767.755,761.366,774.144,216.017,221.238,210.796,35.071,32.742,37.4,2.702,2.388,3.016,0.322,0.252,0.392,0.278,0.252,0.304,3.428,3.392,3.464,3.428,3.392,3.464,5.318,5.13,5.506,5.318,5.13,5.506,5.5489999999999995,5.314,5.784,5.5489999999999995,5.314,5.784
2023-06-14T05:20:00Z,5153,356,17032,20,20,,90,90,,863.496,863.496,,,,,0,3.4,3.4,3.4,11.4,11.4,11.5,8.6,8.6,8.7,164.3,164.9,163.8,762.838,758.474,767.202,213.04000000000002,220.644,205.436,33.224000000000004,32.402,34.046,2.1180000000000003,1.81,2.426,0.27,0.244,0.296,0.179,0.166,0.192,3.49,3.666,3.314,3.49,3.666,3.314,5.1,5.18,5.02,5.1,5.18,5.02,5.324,5.352,5.296,5.324,5.352,5.296
2023-06-14T05:30:00Z,5753,356,17032,20,20,,90,90,,863.426,863.426,,,,,0,3.4,3.2,3.6,10.8,10.6,11,8.3,8.2,8.4,169.9,171.3,168.5,719.55,709.016,730.084,201.595,205.17,198.02,34.016999999999996,31.092,36.942,1.944,2.154,1.734,0.08399999999999999,0.076,0.092,0.046,0,0.092,3.29,3.366,3.214,3.29,3.366,3.214,4.994,4.994,4.994,4.994,4.994,4.994,5.140000000000001,5.09,5.19,5.140000000000001,5.09,5.19
