"DateTime","Average","MNUMS 180 A"
"2024-06-04 09:00:00",5.1,3.84
"2024-06-06 10:00:00",,7.143
"2024-06-06 11:00:00",,8.634
"2024-06-06 12:00:00",,6.642
"2024-06-06 13:00:00",,5.885
"2024-06-06 14:00:00",,4.769
"2024-06-06 15:00:00",,2.595
"2024-06-06 16:00:00",,2.273
"2024-06-06 17:00:00",,1.417
"2024-06-06 18:00:00",,0.907
"2024-06-06 19:00:00",,0.72
"2024-06-06 20:00:00",,0.873
"2024-06-06 21:00:00",,1.474
"2024-06-06 22:00:00",,3.973
"2024-06-06 23:00:00",,8.03
"2024-06-07 00:00:00",,8.343
"2024-06-07 01:00:00",,11.406
"2024-06-07 02:00:00",,10.439
"2024-06-07 03:00:00",,8.012
"2024-06-07 04:00:00",,6.748
"2024-06-07 05:00:00",,5.468
"2024-06-07 06:00:00",,4.678
"2024-06-07 07:00:00",,4.691
"2024-06-07 08:00:00",,6.022
"2024-06-07 09:00:00",,4.705
"2024-06-07 10:00:00",,4.523
"2024-06-07 11:00:00",,4.88
"2024-06-07 12:00:00",5.1,4.705
