"DateTime","Average","MNUMS 205 A","MNUMS 205 B"
"2024-06-04 14:00:00",8.2,3.855,3.02
"2024-06-06 10:00:00",,11.195,11.247
"2024-06-06 11:00:00",,13.16,13.073
"2024-06-06 12:00:00",,11.084,10.881
"2024-06-06 13:00:00",,9.741,9.433
"2024-06-06 14:00:00",,8.064,7.673
"2024-06-06 15:00:00",,5.026,4.733
"2024-06-06 16:00:00",,4.612,4.274
"2024-06-06 17:00:00",,3.266,2.843
"2024-06-06 18:00:00",,2.399,1.901
"2024-06-06 19:00:00",,2.237,2.022
"2024-06-06 20:00:00",,2.535,2.058
"2024-06-06 21:00:00",,3.44,2.916
"2024-06-06 22:00:00",,6.207,5.906
"2024-06-06 23:00:00",,11.889,11.569
"2024-06-07 00:00:00",,13.218,12.962
"2024-06-07 01:00:00",,17.175,17.015
"2024-06-07 02:00:00",,16.208,15.794
"2024-06-07 03:00:00",,12.878,12.531
"2024-06-07 04:00:00",,11.097,10.833
"2024-06-07 05:00:00",,9.255,8.937
"2024-06-07 06:00:00",,8.128,7.794
"2024-06-07 07:00:00",,8.365,7.707
"2024-06-07 08:00:00",,9.148,8.645
"2024-06-07 09:00:00",,7.742,7.336
"2024-06-07 10:00:00",,7.3,6.988
"2024-06-07 11:00:00",,8.063,7.623
"2024-06-07 12:00:00",8.2,7.404,6.881
