time_stamp,uptime,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-06-14T03:50:00Z,182,352,16160,26,26,,87,87,,864.695,864.695,,,,,0.01,3.5,3.3,3.7,10.7,10.1,11.2,8.2,7.9,8.5,171.1,176.4,166.2,710.435,672.44,748.43,190.9125,181.79,200.035,38.22,36.28,40.16,3.4675000000000002,3.31,3.625,0.3525,0,0.705,0.1425,0,0.285,2.8049999999999997,2.79,2.82,2.8049999999999997,2.79,2.82,4.885,4.68,5.09,4.885,4.68,5.09,5.135,4.68,5.59,5.135,4.68,5.59
2023-06-14T04:00:00Z,600,392,17330,26,26,,86.8,86.8,,864.042,864.042,,,,,0.01,3.7,3.3,4.1,10.9,10.2,11.7,8.4,8,8.8,168.6,175.5,162.2,729.5340000000001,678.878,780.19,199.341,181.832,216.85,40.266000000000005,34.878,45.654,3.16,2.75,3.57,0.654,0.842,0.466,0.253,0.286,0.22,3.135,2.79,3.48,3.135,2.79,3.48,5.340999999999999,4.646,6.036,5.340999999999999,4.646,6.036,5.776,5.17,6.382,5.776,5.17,6.382
2023-06-14T04:10:00Z,1200,458,17296,25.4,25.4,,88,88,,864.548,864.548,,,,,0.01,3.6,3.3,3.9,10.9,10,11.9,8.4,7.9,8.9,168.7,177.5,160.8,728.681,665.256,792.106,201.57,184.626,218.514,38.672,34.86,42.484,3.075,2.63,3.52,0.9500000000000001,0.798,1.102,0.52,0.374,0.666,3.1630000000000003,2.854,3.472,3.1630000000000003,2.854,3.472,5.237,4.59,5.884,5.237,4.59,5.884,5.883,5.118,6.648,5.883,5.118,6.648
2023-06-14T04:20:00Z,1800,379,16976,25,25,,88,88,,863.866,863.866,,,,,0.01,3.5,3,4.1,10.4,9.4,11.4,8.1,7.6,8.6,173.5,182.9,165,693.095,628.834,757.356,189.365,170.822,207.908,39.007,31.742,46.272,2.908,2.332,3.484,0.461,0.4,0.522,0.21600000000000003,0.092,0.34,2.9589999999999996,2.578,3.34,2.9589999999999996,2.578,3.34,5.018,4.21,5.826,5.018,4.21,5.826,5.372,4.474,6.27,5.372,4.474,6.27
2023-06-14T04:30:00Z,2400,364,17296,25,25,,89,89,,864.152,864.152,,,,,0.01,3.5,3.2,3.7,10.4,9.7,11.1,8.1,7.7,8.5,173.3,179.9,167.2,694.512,648.496,740.528,190.60399999999998,176.296,204.912,38.193,35.038,41.348,3.3099999999999996,2.812,3.808,0.646,0.366,0.926,0.23900000000000002,0.082,0.396,3.012,2.694,3.33,3.012,2.694,3.33,4.953,4.458,5.448,4.953,4.458,5.448,5.449,4.692,6.206,5.449,4.692,6.206
2023-06-14T04:40:00Z,3000,417,17296,24.8,24.8,,89.4,89.4,,864.116,864.116,,,,,0.01,3.3,3,3.6,9.7,8.9,10.6,7.7,7.3,8.2,179.8,188.3,172.1,649.265,595.068,703.462,177.312,162.62,192.004,36.26,32.312,40.208,3.125,2.596,3.654,0.40800000000000003,0.334,0.482,0.313,0.24,0.386,2.667,2.404,2.93,2.667,2.404,2.93,4.51,3.972,5.048,4.51,3.972,5.048,4.8740000000000006,4.218,5.53,4.8740000000000006,4.218,5.53
2023-06-14T04:50:00Z,3600,365,17296,24,24,,90,90,,864.134,864.134,,,,,0.01,3.2,2.9,3.5,9.4,8.6,10.1,7.5,7.1,7.9,183.6,191.8,176.1,624.355,574.132,674.578,170.42000000000002,155.202,185.638,35.702,31.662,39.742,3.096,2.756,3.436,0.769,0.76,0.778,0.348,0.344,0.352,2.5389999999999997,2.264,2.814,2.5389999999999997,2.264,2.814,4.3629999999999995,3.816,4.91,4.3629999999999995,3.816,4.91,4.894,4.348,5.44,4.894,4.348,5.44
2023-06-14T05:00:00Z,4200,371,17296,23.2,23.2,,89.6,89.6,,863.922,863.922,,,,,0.01,3.1,2.8,3.3,9.3,8.6,9.9,7.5,7.1,7.9,184.6,191.9,177.9,618.0409999999999,573.512,662.57,169.287,155.53,183.044,33.386,30.55,36.222,2.633,2.044,3.222,0.319,0.092,0.546,0.164,0,0.328,2.5679999999999996,2.28,2.856,2.5679999999999996,2.28,2.856,4.327,3.91,4.744,4.327,3.91,4.744,4.577,3.956,5.198,4.577,3.956,5.198
2023-06-14T05:10:00Z,4800,362,16976,23,23,,90,90,,864.056,864.056,,,,,0.01,3.3,3,3.5,9.7,9.2,10.2,7.7,7.4,8,180,185.3,174.9,648.38,613.542,683.218,178.26999999999998,167.382,189.158,35.133,31.526,38.74,2.411,2.214,2.608,0.422,0.242,0.602,0.377,0.152,0.602,2.638,2.328,2.948,2.638,2.328,2.948,4.547,4.074,5.02,4.547,4.074,5.02,4.856,4.226,5.486,4.856,4.226,5.486
2023-06-14T05:20:00Z,5400,391,16661,23,23,,89.8,89.8,,863.938,863.938,,,,,0.01,3.3,3,3.5,9.6,9,10.2,7.7,7.3,8,181.2,187.5,175.4,639.95,600.168,679.732,175.19,162.722,187.658,36.403999999999996,33.416,39.392,2.701,2.532,2.87,0.386,0.38,0.392,0.259,0.188,0.33,2.56,2.242,2.878,2.56,2.242,2.878,4.542,4.128,4.956,4.542,4.128,4.956,4.875,4.444,5.306,4.875,4.444,5.306
2023-06-14T05:30:00Z,6000,456,16976,23,23,,89.4,89.4,,863.598,863.598,,,,,0.01,3.2,2.9,3.6,9.7,8.8,10.7,7.7,7.2,8.3,179.8,189.9,170.8,649.233,585.438,713.028,177.61599999999999,158.618,196.614,34.749,30.462,39.036,2.598,2.242,2.954,0.23199999999999998,0.294,0.17,0.134,0.098,0.17,2.6790000000000003,2.244,3.114,2.6790000000000003,2.244,3.114,4.615,3.984,5.246,4.615,3.984,5.246,4.782,4.186,5.378,4.782,4.186,5.378
2023-06-14T05:40:00Z,6600,359,16976,22.8,22.8,,90,90,,863.84,863.84,,,,,0.01,3.2,2.8,3.6,9.7,8.9,10.5,7.7,7.2,8.2,180.3,189.1,172.3,646.1110000000001,590.094,702.128,179.332,162.73,195.934,33.596,28.548,38.644,2.342,2.044,2.64,0.247,0.142,0.352,0.176,0,0.352,2.76,2.342,3.178,2.76,2.342,3.178,4.542,3.856,5.228,4.542,3.856,5.228,4.7170000000000005,3.938,5.496,4.7170000000000005,3.938,5.496
