time_stamp,uptime,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-06-14T03:00:00Z,1193,,15480,26,26,,85,85,,864.23,864.23,,,,,0.01,4,3.7,4.3,12.2,11.7,12.7,9,8.8,9.3,158.4,162.6,154.5,811.88,777.16,846.6,234.345,224.09,244.6,40.12,37.19,43.05,1.455,1.89,1.02,0,0,0,0,0,0,3.81,3.49,4.13,3.81,3.49,4.13,5.9350000000000005,5.54,6.33,5.9350000000000005,5.54,6.33,5.9350000000000005,5.54,6.33,5.9350000000000005,5.54,6.33
2023-06-14T03:10:00Z,1553,374,17150,25.2,25.2,,85,85,,864.118,864.118,,,,,0.01,4.1,4,4.2,12.6,12.1,13.1,9.2,9,9.4,155.5,159.1,152,838.246,806.39,870.102,241.424,232.352,250.496,42.253,42.43,42.076,3.46,3.954,2.966,0.325,0.16,0.49,0.205,0.108,0.302,3.835,3.586,4.084,3.835,3.586,4.084,6.182,6.19,6.174,6.182,6.19,6.174,6.438,6.334,6.542,6.438,6.334,6.542
2023-06-14T03:20:00Z,2153,431,17016,24.2,24.2,,85.6,85.6,,864.072,864.072,,,,,0.01,3.9,3.7,4.1,11.8,10.9,12.7,8.8,8.4,9.2,161.7,169.2,154.9,784.4490000000001,725.278,843.62,225.596,208.362,242.83,41.146,40.128,42.164,2.732,2.87,2.594,0.40900000000000003,0.544,0.274,0.362,0.45,0.274,3.5839999999999996,3.092,4.076,3.5839999999999996,3.092,4.076,5.705,5.178,6.232,5.705,5.178,6.232,6.074999999999999,5.664,6.486,6.074999999999999,5.664,6.486
2023-06-14T03:30:00Z,2753,363,16696,24,24,,86,86,,864.066,864.066,,,,,0.01,3.8,3.7,4,11.6,11.2,12.1,8.7,8.5,9,162.7,166.4,159.3,775.74,746.64,804.84,223.82999999999998,213.51,234.15,39.124,38.24,40.008,2.435,2.878,1.992,0.402,0.366,0.438,0.402,0.366,0.438,3.509,3.242,3.776,3.509,3.242,3.776,5.571,5.3,5.842,5.571,5.3,5.842,5.925000000000001,5.62,6.23,5.925000000000001,5.62,6.23
2023-06-14T03:40:00Z,3353,401,16696,23.2,23.2,,86.4,86.4,,863.938,863.938,,,,,0.01,3.7,3.4,3.9,11.4,11,11.8,8.6,8.4,8.8,164.8,168.4,161.3,759.058,730.764,787.352,217.826,210.6,225.052,38.358000000000004,34.944,41.772,3.159,2.784,3.534,0.5329999999999999,0.71,0.356,0.391,0.528,0.254,3.277,2.984,3.57,3.277,2.984,3.57,5.3759999999999994,4.866,5.886,5.3759999999999994,4.866,5.886,5.817,5.394,6.24,5.817,5.394,6.24
2023-06-14T03:50:00Z,3953,362,17656,23.2,23.2,,87,87,,863.916,863.916,,,,,0.01,3.6,3.3,3.9,11.3,10.3,12.2,8.6,8.1,9,165.8,174.2,158.3,751.002,688.502,813.502,214.72899999999998,199.218,230.24,36.932,34.35,39.514,2.835,3.526,2.144,0.385,0.45,0.32,0.255,0.27,0.24,3.253,3.026,3.48,3.253,3.026,3.48,5.253,5.074,5.432,5.253,5.074,5.432,5.6129999999999995,5.424,5.802,5.6129999999999995,5.424,5.802
2023-06-14T04:00:00Z,4553,503,16696,23,23,,87.2,87.2,,863.772,863.772,,,,,0.01,3.8,3.7,3.9,11.8,11.3,12.3,8.8,8.6,9.1,161.4,165.5,157.6,786.466,753.464,819.468,227.368,217.872,236.864,38.971000000000004,37.318,40.624,2.866,2.504,3.228,0.349,0.192,0.506,0.302,0.098,0.506,3.759,3.474,4.044,3.759,3.474,4.044,5.855,5.492,6.218,5.855,5.492,6.218,6.162,5.614,6.71,6.162,5.614,6.71
2023-06-14T04:10:00Z,5153,382,16696,23,23,,88,88,,863.776,863.776,,,,,0.01,3.8,3.5,4,11.7,10.9,12.4,8.8,8.4,9.1,162.5,168.7,156.6,778.135,728.636,827.634,221.537,207.906,235.168,38.760999999999996,35.888,41.634,2.808,3.152,2.464,0.345,0.274,0.416,0.308,0.2,0.416,3.55,3.196,3.904,3.55,3.196,3.904,5.618,5.242,5.994,5.618,5.242,5.994,5.936999999999999,5.454,6.42,5.936999999999999,5.454,6.42
2023-06-14T04:20:00Z,5753,364,17336,23,23,,87.8,87.8,,863.428,863.428,,,,,0.01,3.4,3.3,3.5,11.1,10.6,11.6,8.5,8.2,8.7,167.1,171.6,162.8,740.995,706.896,775.094,210.48000000000002,199.268,221.692,35.182,33.904,36.46,3.463,2.614,4.312,0.276,0.222,0.33,0.276,0.222,0.33,3.371,3.006,3.736,3.371,3.006,3.736,5.371,4.836,5.906,5.371,4.836,5.906,5.672000000000001,5.072,6.272,5.672000000000001,5.072,6.272
2023-06-14T04:30:00Z,6353,368,17656,23,23,,88.2,88.2,,863.492,863.492,,,,,0.01,3.5,3.3,3.7,11.2,10.6,11.8,8.5,8.2,8.8,166.5,171.9,161.5,745.623,704.826,786.42,216.655,203.938,229.372,36.11,34.36,37.86,3.6790000000000003,3.56,3.798,0.525,0.446,0.604,0.33799999999999997,0.18,0.496,3.455,3.172,3.738,3.455,3.172,3.738,5.552,5.104,6,5.552,5.104,6,6.052,5.492,6.612,6.052,5.492,6.612
2023-06-14T04:40:00Z,6953,366,17016,22.4,22.4,,89,89,,863.344,863.344,,,,,0.01,3.4,3.3,3.5,10.7,10.2,11.3,8.3,8,8.6,170.3,175.5,165.5,716.4970000000001,679.006,753.988,204.45299999999997,194.444,214.462,35.86,35.792,35.928,3.2359999999999998,3.71,2.762,0.318,0.34,0.296,0.242,0.288,0.196,3.189,2.996,3.382,3.189,2.996,3.382,5.21,5.112,5.308,5.21,5.112,5.308,5.548,5.436,5.66,5.548,5.436,5.66
2023-06-14T04:50:00Z,7553,379,17656,22,22,,89,89,,863.33,863.33,,,,,0.01,3.3,3.2,3.4,10.3,9.8,10.8,8.1,7.8,8.3,174.1,178.9,169.6,688.601,655.492,721.71,194.954,188.578,201.33,34.332,33.796,34.868,2.343,2.568,2.118,0.313,0.088,0.538,0.313,0.088,0.538,2.935,2.704,3.166,2.935,2.704,3.166,4.769,4.638,4.9,4.769,4.638,4.9,5.063,4.784,5.342,5.063,4.784,5.342
2023-06-14T05:00:00Z,8153,374,16696,22,22,,89,89,,863.324,863.324,,,,,0.01,3.3,3.2,3.4,10.5,9.9,11,8.1,7.8,8.4,173,178.6,167.7,696.823,657.252,736.394,198.689,187.896,209.482,33.400000000000006,32.606,34.194,2.823,2.48,3.166,0.291,0.088,0.494,0.291,0.088,0.494,3.0090000000000003,2.74,3.278,3.0090000000000003,2.74,3.278,4.943,4.572,5.314,4.943,4.572,5.314,5.231,4.65,5.812,5.231,4.65,5.812
2023-06-14T05:10:00Z,8753,370,17016,21,21,,89,89,,863.276,863.276,,,,,0.01,3.5,3.3,3.6,10.5,9.8,11.2,8.2,7.8,8.5,172.2,178.8,166.1,702.631,656.342,748.92,202.86700000000002,189.964,215.77,36.196,35.622,36.77,2.315,2.686,1.944,0.239,0.216,0.262,0.185,0.216,0.154,3.097,2.78,3.414,3.097,2.78,3.414,5.0649999999999995,4.878,5.252,5.0649999999999995,4.878,5.252,5.314,5.042,5.586,5.314,5.042,5.586
2023-06-14T05:20:00Z,9353,399,16376,21,21,,88.2,88.2,,863.234,863.234,,,,,0.01,3.5,3.3,3.7,10.8,10,11.5,8.3,7.9,8.7,170.2,176.9,164,717.518,669.106,765.93,206.29399999999998,193.1,219.488,37.608999999999995,36.552,38.666,3.551,3.884,3.218,0.375,0.332,0.418,0.222,0.262,0.182,3.153,2.842,3.464,3.153,2.842,3.464,5.244,5.01,5.478,5.244,5.01,5.478,5.5280000000000005,5.268,5.788,5.5280000000000005,5.268,5.788
2023-06-14T05:30:00Z,9953,444,17336,21,21,,87.6,87.6,,862.286,862.286,,,,,0.01,3.4,3.5,3.3,10.4,10,10.8,8.1,7.9,8.3,173.4,177.2,169.8,693.838,667.336,720.34,199.107,194.828,203.386,35.538,38.336,32.74,2.302,2.696,1.908,0.182,0.296,0.068,0.182,0.296,0.068,3.049,2.892,3.206,3.049,2.892,3.206,4.952999999999999,4.914,4.992,4.952999999999999,4.914,4.992,5.152,5.222,5.082,5.152,5.222,5.082
2023-06-14T05:40:00Z,10553,411,17016,21,21,,89,89,,863.066,863.066,,,,,0.01,3.4,3.3,3.4,10.4,10.1,10.7,8.1,7.9,8.3,173.7,176.6,170.8,692.129,671.37,712.888,198.01299999999998,190.73,205.296,34.887,35.45,34.324,2.468,3.17,1.766,0.33099999999999996,0.376,0.286,0.28400000000000003,0.376,0.192,2.903,2.488,3.318,2.903,2.488,3.318,4.779999999999999,4.608,4.952,4.779999999999999,4.608,4.952,5.029999999999999,4.89,5.17,5.029999999999999,4.89,5.17
2023-06-14T05:50:00Z,11153,461,17016,21,21,,89,89,,863.036,863.036,,,,,0.01,3.4,3.4,3.4,10.3,10,10.7,8.1,7.9,8.2,174.1,177.4,171,688.944,666.088,711.8,196.48399999999998,190.628,202.34,35.093,35.97,34.216,2.112,2.596,1.628,0.165,0.198,0.132,0.165,0.198,0.132,2.9939999999999998,2.71,3.278,2.9939999999999998,2.71,3.278,4.755,4.59,4.92,4.755,4.59,4.92,4.932,4.808,5.056,4.932,4.808,5.056
2023-06-14T06:00:00Z,11753,404,16376,21,21,,89,89,,862.946,862.946,,,,,0.01,3.5,3.3,3.7,10.5,10,11,8.1,7.9,8.4,172.7,177.7,168.1,698.679,663.896,733.462,200.81099999999998,188.6,213.022,36.394999999999996,34.804,37.986,1.9329999999999998,1.752,2.114,0.127,0,0.254,0.127,0,0.254,3.0220000000000002,2.628,3.416,3.0220000000000002,2.628,3.416,4.855,4.356,5.354,4.855,4.356,5.354,4.939,4.356,5.522,4.939,4.356,5.522
2023-06-14T06:10:00Z,12353,380,17016,20.8,20.8,,89.8,89.8,,862.866,862.866,,,,,0.01,3.2,3.1,3.4,9.9,9.4,10.5,7.9,7.5,8.2,177.8,183.5,172.4,663.013,624.936,701.09,191.382,181.116,201.648,33.471000000000004,32.198,34.744,2.334,1.81,2.858,0.177,0.094,0.26,0.136,0.094,0.178,2.973,2.824,3.122,2.973,2.824,3.122,4.708,4.336,5.08,4.708,4.336,5.08,4.868,4.414,5.322,4.868,4.414,5.322
2023-06-14T06:20:00Z,12953,360,16696,20.6,20.6,,90,90,,862.764,862.764,,,,,0.01,3.3,3.2,3.5,10.1,9.4,10.9,8,7.5,8.4,175.9,183.4,169,676.106,626.036,726.176,192.973,180.974,204.972,34.594,32.904,36.284,2.3890000000000002,1.944,2.834,0.242,0.302,0.182,0.20299999999999999,0.302,0.104,2.927,2.668,3.186,2.927,2.668,3.186,4.715999999999999,4.292,5.14,4.715999999999999,4.292,5.14,4.952,4.554,5.35,4.952,4.554,5.35
2023-06-14T06:30:00Z,13553,364,17336,20.2,20.2,,89.4,89.4,,862.768,862.768,,,,,0.01,3.3,3.2,3.4,10.4,9.7,11.1,8.1,7.7,8.5,173.8,180.7,167.4,691.235,643.408,739.062,199.17399999999998,184.284,214.064,32.519000000000005,32.042,32.996,1.606,1.338,1.874,0.133,0.098,0.168,0.08499999999999999,0.098,0.072,3.15,2.82,3.48,3.15,2.82,3.48,4.683,4.35,5.016,4.683,4.35,5.016,4.7940000000000005,4.422,5.166,4.7940000000000005,4.422,5.166
2023-06-14T06:40:00Z,14153,357,16696,21,21,,89.6,89.6,,862.748,862.748,,,,,0.01,3.8,3.6,4,11.3,10.6,11.9,8.6,8.2,8.9,165.8,171.2,160.7,751.019,709.68,792.358,214.998,203.608,226.388,39.485,38.036,40.934,2.271,2.586,1.956,0.365,0.542,0.188,0.271,0.542,0,3.427,3.202,3.652,3.427,3.202,3.652,5.445,5.256,5.634,5.445,5.256,5.634,5.737,5.686,5.788,5.737,5.686,5.788
2023-06-14T06:50:00Z,14753,373,17656,20.4,20.4,,89.8,89.8,,862.59,862.59,,,,,0.01,3.8,3.7,3.9,11.8,11.5,12.1,8.8,8.6,9,161.5,164.2,158.9,785.845,763.856,807.834,224.12400000000002,217.056,231.192,39.519,38.534,40.504,2.873,3.238,2.508,0.317,0.274,0.36,0.224,0.186,0.262,3.419,3.346,3.492,3.419,3.346,3.492,5.5760000000000005,5.586,5.566,5.5760000000000005,5.586,5.566,5.845,5.816,5.874,5.845,5.816,5.874
2023-06-14T07:00:00Z,15353,368,17016,20.4,20.4,,90,90,,862.528,862.528,,,,,0.01,3.9,3.8,4.1,12.1,11.5,12.7,9,8.7,9.2,159.3,164.1,154.8,804.566,765.104,844.028,230.353,219.004,241.702,41.426,40.764,42.088,3.231,3.64,2.822,0.53,0.576,0.484,0.33699999999999997,0.388,0.286,3.587,3.22,3.954,3.587,3.22,3.954,5.891,5.534,6.248,5.891,5.534,6.248,6.328,5.964,6.692,6.328,5.964,6.692
2023-06-14T07:10:00Z,15953,467,17336,20,20,,89,89,,862.524,862.524,,,,,0.01,3.8,3.6,4,11.5,10.8,12.2,8.7,8.3,9,163.6,169.5,158,769.1800000000001,722.418,815.942,221.63400000000001,206.784,236.484,39.571,38.678,40.464,2.552,3.296,1.808,0.27,0.444,0.096,0.27,0.444,0.096,3.535,3.218,3.852,3.535,3.218,3.852,5.545999999999999,5.318,5.774,5.545999999999999,5.318,5.774,5.8,5.672,5.928,5.8,5.672,5.928
2023-06-14T07:20:00Z,16553,519,17656,20,20,,89,89,,862.49,862.49,,,,,0.01,4,4,4,11.8,11.1,12.4,8.8,8.5,9.1,161.6,167,156.5,785.4359999999999,742.088,828.784,226.711,213.612,239.81,42.403999999999996,43.806,41.002,2.808,2.994,2.622,0.39799999999999996,0.208,0.588,0.322,0.208,0.436,3.684,3.43,3.938,3.684,3.43,3.938,5.873,5.838,5.908,5.873,5.838,5.908,6.276,6.038,6.514,6.276,6.038,6.514
2023-06-14T07:30:00Z,17153,360,17336,20,20,,89,89,,862.448,862.448,,,,,0.01,3.8,3.6,4.1,11.6,10.8,12.4,8.7,8.3,9.1,162.9,169.8,156.5,774.771,720.536,829.006,221.937,207.934,235.94,40.657,38.838,42.476,3.4589999999999996,3.872,3.046,0.479,0.446,0.512,0.434,0.446,0.422,3.4450000000000003,3.116,3.774,3.4450000000000003,3.116,3.774,5.695,5.316,6.074,5.695,5.316,6.074,6.09,5.668,6.512,6.09,5.668,6.512
2023-06-14T07:40:00Z,17753,376,17656,19.4,19.4,,89,89,,862.414,862.414,,,,,0.01,3.9,3.6,4.2,11.5,10.7,12.3,8.7,8.3,9.1,163.8,170.4,157.7,766.84,715.7,817.98,220.506,205.204,235.808,42.054,39.69,44.418,2.74,3.262,2.218,0.29000000000000004,0.336,0.244,0.252,0.336,0.168,3.5309999999999997,3.234,3.828,3.5309999999999997,3.234,3.828,5.619,5.294,5.944,5.619,5.294,5.944,5.892,5.626,6.158,5.892,5.626,6.158
