time_stamp,uptime,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-06-14T03:20:00Z,954,365,16894,25.8,25.8,,83.6,83.6,,864.542,864.542,,,,,0,3.6,3.5,3.6,10.9,12.2,9.6,8.4,9,7.7,168.8,158.4,180.8,727.6610000000001,812.574,642.748,200.979,211.104,190.854,37.197,33.7,40.694,2.398,2.208,2.588,0.46499999999999997,0.284,0.646,0.34,0.158,0.522,3.1109999999999998,3.398,2.824,3.1109999999999998,3.398,2.824,4.977,5.114,4.84,4.977,5.114,4.84,5.302,5.292,5.312,5.302,5.292,5.312
2023-06-14T03:30:00Z,1553,435,17144,24,24,,85.2,85.2,,864.518,864.518,,,,,0,3.3,3.2,3.4,10.2,11.1,9.4,8,8.5,7.5,175,167.2,183.5,682.7080000000001,740.528,624.888,191.192,195.348,187.036,33.756,31.206,36.306,2.221,2.254,2.188,0.494,0.202,0.786,0.361,0.124,0.598,2.904,2.912,2.896,2.904,2.912,2.896,4.606,4.582,4.63,4.606,4.582,4.63,4.993,4.724,5.262,4.993,4.724,5.262
2023-06-14T03:40:00Z,2153,382,16824,23,23,,86.4,86.4,,864.414,864.414,,,,,0,3.4,3.4,3.4,10.1,11.2,8.9,7.9,8.5,7.3,176.4,166.1,188.1,672.672,749.136,596.208,189.425,201.796,177.054,35.953,34.458,37.448,1.7400000000000002,2.188,1.292,0.333,0.396,0.27,0.165,0.216,0.114,3.0439999999999996,3.264,2.824,3.0439999999999996,3.264,2.824,4.65,4.778,4.522,4.65,4.778,4.522,4.904999999999999,5.1,4.71,4.904999999999999,5.1,4.71
2023-06-14T03:50:00Z,2753,432,16824,22.8,22.8,,87.4,87.4,,864.368,864.368,,,,,0,3.2,3.2,3.2,9.6,10.5,8.8,7.7,8.1,7.2,180.8,172.8,189.6,642.893,698.64,587.146,182.403,189.332,175.474,33.333,31.708,34.958,1.8079999999999998,1.988,1.628,0.44499999999999995,0.41,0.48,0.23,0.122,0.338,2.795,2.928,2.662,2.795,2.928,2.662,4.413,4.432,4.394,4.413,4.432,4.394,4.724,4.746,4.702,4.724,4.746,4.702
2023-06-14T04:00:00Z,3353,388,17144,22,22,,88,88,,864.338,864.338,,,,,0,3.3,3.2,3.4,9.9,10.8,9,7.9,8.3,7.3,177.8,169.5,187,662.7370000000001,722.558,602.916,186.387,192.66,180.114,34.159,31.392,36.926,1.487,1.378,1.596,0.27499999999999997,0.142,0.408,0.145,0.048,0.242,2.854,3.084,2.624,2.854,3.084,2.624,4.484,4.562,4.406,4.484,4.562,4.406,4.704000000000001,4.684,4.724,4.704000000000001,4.684,4.724
2023-06-14T04:10:00Z,3953,429,17144,22,22,,89,89,,864.16,864.16,,,,,0,3.3,3.1,3.4,10.1,10.7,9.5,7.9,8.3,7.6,176.6,170.8,182.7,671.595,712.808,630.382,189.514,189.036,189.992,33.536,30.318,36.754,1.841,1.936,1.746,0.432,0.21,0.654,0.19799999999999998,0.048,0.348,3.086,3.03,3.142,3.086,3.03,3.142,4.584,4.422,4.746,4.584,4.422,4.746,4.9190000000000005,4.604,5.234,4.9190000000000005,4.604,5.234
2023-06-14T04:20:00Z,4553,382,16504,21.8,21.8,,89,89,,863.994,863.994,,,,,0,3.1,3,3.2,9.6,10.2,8.9,7.6,8,7.3,181.7,175.5,188.3,637.059,679.152,594.966,179.963,183.896,176.03,31.932000000000002,28.806,35.058,1.634,1.564,1.704,0.29600000000000004,0.134,0.458,0.136,0,0.272,2.8179999999999996,2.804,2.832,2.8179999999999996,2.804,2.832,4.311,4.214,4.408,4.311,4.214,4.408,4.555,4.334,4.776,4.555,4.334,4.776
2023-06-14T04:30:00Z,5153,362,16824,21,21,,89.8,89.8,,863.87,863.87,,,,,0,3,3,3.1,9.3,10,8.7,7.5,7.9,7.1,183.9,177.6,190.8,622.377,664.668,580.086,177.01,179.576,174.444,31.807,29.796,33.818,2.241,2.128,2.354,0.45599999999999996,0.21,0.702,0.32499999999999996,0.086,0.564,2.646,2.688,2.604,2.646,2.688,2.604,4.111000000000001,4.064,4.158,4.111000000000001,4.064,4.158,4.521,4.264,4.778,4.521,4.264,4.778
2023-06-14T04:40:00Z,5753,388,17144,21,21,,90,90,,863.714,863.714,,,,,0,3,2.8,3.1,9.1,9.7,8.4,7.4,7.7,7,186.9,180.3,193.9,603.973,646.252,561.694,172.06,173.872,170.248,30.171999999999997,26.858,33.486,1.639,1.76,1.518,0.201,0.222,0.18,0.133,0.122,0.144,2.713,2.84,2.586,2.713,2.84,2.586,4.042,4.092,3.992,4.042,4.092,3.992,4.215,4.284,4.146,4.215,4.284,4.146
2023-06-14T04:50:00Z,6353,367,17144,20,20,,90,90,,863.718,863.718,,,,,0,2.9,2.6,3.1,8.9,9.5,8.3,7.3,7.6,6.9,188.5,182.5,195,593.7909999999999,631.89,555.692,167.603,167.98,167.226,29.274,24.094,34.454,1.5430000000000001,1.498,1.588,0.336,0.152,0.52,0.274,0.116,0.432,2.401,2.394,2.408,2.401,2.394,2.408,3.742,3.512,3.972,3.742,3.512,3.972,4.026,3.658,4.394,4.026,3.658,4.394
