time_stamp;uptime;pa_latency;memory;humidity;humidity_a;humidity_b;temperature;temperature_a;temperature_b;pressure;pressure_a;pressure_b;voc;voc_a;voc_b;analog_input;pm2.5_alt;pm2.5_alt_a;pm2.5_alt_b;scattering_coefficient;scattering_coefficient_a;scattering_coefficient_b;deciviews;deciviews_a;deciviews_b;visual_range;visual_range_a;visual_range_b;0.3_um_count;0.3_um_count_a;0.3_um_count_b;0.5_um_count;0.5_um_count_a;0.5_um_count_b;1.0_um_count;1.0_um_count_a;1.0_um_count_b;2.5_um_count;2.5_um_count_a;2.5_um_count_b;5.0_um_count;5.0_um_count_a;5.0_um_count_b;10.0_um_count;10.0_um_count_a;10.0_um_count_b;pm1.0_cf_1;pm1.0_cf_1_a;pm1.0_cf_1_b;pm1.0_atm;pm1.0_atm_a;pm1.0_atm_b;pm2.5_atm;pm2.5_atm_a;pm2.5_atm_b;pm2.5_cf_1;pm2.5_cf_1_a;pm2.5_cf_1_b;pm10.0_atm;pm10.0_atm_a;pm10.0_atm_b;pm10.0_cf_1;pm10.0_cf_1_a;pm10.0_cf_1_b
2023-06-14T03:40:00Z;773;392;14736;24.5;24.5;;87;87;;864.79;864.79;;;;;0;3.4;3.2;3.7;10.4;9.3;11.4;8.1;7.5;8.6;173.9;184.2;164.8;690.05;620.965;759.135;189.1415;170.63;207.653;37.3915;36.9;37.883;2.845;3.632;2.058;0.461;0.787;0.135;0.1735;0.212;0.135;2.852;2.452;3.252;2.852;2.452;3.252;4.747;4.482;5.012;4.747;4.482;5.012;5.1275;5.01;5.245;5.1275;5.01;5.245
2023-06-14T03:50:00Z;1312;439;14706;24.2;24.2;;87.8;87.8;;864.264;864.264;;;;;0;3.2;3;3.4;10.1;9;11.2;8;7.3;8.5;175.9;187.1;166;675.912;602.44;749.384;186.252;165.288;207.216;32.748;33.488;32.008;2.57;3.682;1.458;0.441;0.754;0.128;0.159;0.228;0.09;2.814;2.35;3.278;2.814;2.35;3.278;4.373;4.194;4.552;4.373;4.194;4.552;4.681;4.654;4.708;4.681;4.654;4.708
2023-06-14T04:00:00Z;1912;374;16427;23.6;23.6;;89;89;;864.736;864.736;;;;;0;3.3;3.2;3.4;10.2;9.3;11.1;8;7.5;8.5;175.5;184.3;167.5;679.118;620.198;738.038;188.944;174.128;203.76;34.749;36.088;33.41;2.635;3.334;1.936;0.451;0.662;0.24;0.319;0.446;0.192;2.839;2.606;3.072;2.839;2.606;3.072;4.621;4.506;4.736;4.621;4.506;4.736;4.999;5.04;4.958;4.999;5.04;4.958
2023-06-14T04:10:00Z;2512;361;17320;23.2;23.2;;89;89;;864.59;864.59;;;;;0;3.5;3.2;3.7;10.4;9.2;11.6;8.1;7.5;8.7;173.5;185;163.3;693.33;615.398;771.262;195.601;175.212;215.99;36.777;35.532;38.022;2.507;3.16;1.854;0.386;0.72;0.052;0.194;0.336;0.052;2.925;2.378;3.472;2.925;2.378;3.472;4.732;4.206;5.258;4.732;4.206;5.258;5.094;4.81;5.378;5.094;4.81;5.378
2023-06-14T04:20:00Z;3112;515;16680;23.2;23.2;;89;89;;864.35;864.35;;;;;0;3.3;3.2;3.3;10.1;9.3;11;7.9;7.5;8.4;176.2;184.7;168.4;674.441;617.684;731.198;185.686;171.1;200.272;33.351;34.864;31.838;1.769;2.73;0.808;0.383;0.656;0.11;0.383;0.656;0.11;2.902;2.578;3.226;2.902;2.578;3.226;4.319;4.188;4.45;4.319;4.188;4.45;4.659;4.774;4.544;4.659;4.774;4.544
2023-06-14T04:30:00Z;3712;360;17000;23;23;;90;90;;864.286;864.286;;;;;0;3.3;3;3.6;9.8;8.5;11.1;7.8;7;8.5;179.2;192.9;167.2;653.707;567.364;740.05;180.713;156.118;205.308;35.048;34.312;35.784;2.432;3.508;1.356;0.463;0.812;0.114;0.373;0.632;0.114;2.779;2.354;3.204;2.779;2.354;3.204;4.458;4.11;4.806;4.458;4.11;4.806;4.852;4.778;4.926;4.852;4.778;4.926
2023-06-14T04:40:00Z;4312;360;17000;23;23;;90;90;;864.158;864.158;;;;;0;3.1;3.1;3.2;9.6;8.8;10.5;7.7;7.2;8.1;180.8;189.4;172.9;642.813;588.328;697.298;176.487;161.748;191.226;32.808;35.282;30.334;1.797;2.564;1.03;0.325;0.548;0.102;0.185;0.268;0.102;2.729;2.35;3.108;2.729;2.35;3.108;4.257;4.102;4.412;4.257;4.102;4.412;4.504;4.468;4.54;4.504;4.468;4.54
2023-06-14T04:50:00Z;4912;360;16040;22.4;22.4;;90;90;;864.15;864.15;;;;;0;3;2.9;3.1;9.2;8.6;9.8;7.4;7.1;7.7;185.6;191.8;179.7;612.097;574.076;650.118;170.061;160.19;179.932;31.743;31.288;32.198;2.363;2.814;1.912;0.492;0.868;0.116;0.314;0.512;0.116;2.55;2.302;2.798;2.55;2.302;2.798;4.048;3.888;4.208;4.048;3.888;4.208;4.484;4.532;4.436;4.484;4.532;4.436
2023-06-14T05:00:00Z;5512;374;17000;22;22;;90;90;;864.106;864.106;;;;;0;3;2.8;3.2;9.5;8.2;10.7;7.6;6.8;8.3;182.6;196.6;170.4;631.106;546.252;715.96;176.19;154.832;197.548;29.935;30.386;29.484;1.744;2.29;1.198;0.272;0.444;0.1;0.181;0.262;0.1;2.584;2.31;2.858;2.584;2.31;2.858;3.908;3.692;4.124;3.908;3.692;4.124;4.174;4.122;4.226;4.174;4.122;4.226
2023-06-14T05:10:00Z;6112;364;16680;22;22;;90;90;;864.09;864.09;;;;;0;3;2.7;3.3;9.6;8.4;10.8;7.7;7;8.3;181;194;169.6;641.696;561.364;722.028;176.949;154.13;199.768;30.4;28.628;32.172;1.968;2.392;1.544;0.391;0.674;0.108;0.245;0.432;0.058;2.651;2.282;3.02;2.651;2.282;3.02;4.108;3.662;4.554;4.108;3.662;4.554;4.47;4.278;4.662;4.47;4.278;4.662
