time_stamp,rssi,uptime,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-06-12T08:10:00Z,-62,956,,14128,16,16,16,89,89,89,866.28,866.28,866.28,27.61,,27.61,1.31,2.7,2.7,,8.4,8.4,,7,7,,193.9,193.9,,561.93,561.93,,166.61,166.61,,30.39,30.39,,4.22,4.22,,1.02,1.02,,0.85,0.85,,2.19,2.19,,2.19,2.19,,4.22,4.22,,4.22,4.22,,5.08,5.08,,5.08,5.08,
2023-06-12T08:20:00Z,-61,1317,366,16758,15.2,15.2,15.2,90.8,90.8,90.8,866.25,866.25,866.25,27.692,,27.692,1.294,2.6,2.6,,7.9,7.9,,6.7,6.7,,199.9,199.9,,528.524,528.524,,149.704,149.704,,29.986,29.986,,4.258,4.258,,1.336,1.336,,0.684,0.684,,1.754,1.754,,1.754,1.754,,3.642,3.642,,3.642,3.642,,4.572,4.572,,4.572,4.572,
2023-06-13T09:40:00Z,-64,778,399,15958,16,16,16,93,93,93,860.985,860.985,860.985,28.242,,28.242,2.462,3.6,3.6,,11.3,11.3,,8.6,8.6,,165.2,165.2,,756.005,756.005,,211.152,211.152,,40.887,40.887,,5.582,5.582,,1.715,1.715,,1.175,1.175,,3.022,3.022,,3.022,3.022,,5.563,5.563,,5.563,5.563,,6.82,6.82,,6.82,6.82,
2023-06-13T09:50:00Z,-62,1317,379,17264,16.2,16.2,16.2,93,93,93,860.84,860.84,860.84,30.59,,30.59,2.616,3.7,3.7,,10.8,10.8,,8.3,8.3,,169.5,169.5,,722.84,722.84,,199.366,199.366,,41.78,41.78,,4.266,4.266,,1.068,1.068,,0.546,0.546,,2.962,2.962,,2.962,2.962,,5.198,5.198,,5.198,5.198,,5.97,5.97,,5.97,5.97,
2023-06-13T10:00:00Z,-63,1917,420,16944,17,17,17,92.2,92.2,92.2,860.732,860.732,860.732,26.884,,26.884,2.07,3.2,3.2,,10.5,10.5,,8.2,8.2,,172.5,172.5,,700.294,700.294,,195.77,195.77,,35.88,35.88,,5.316,5.316,,1.662,1.662,,1.03,1.03,,2.998,2.998,,2.998,2.998,,5.074,5.074,,5.074,5.074,,6.234,6.234,,6.234,6.234,
2023-06-13T10:10:00Z,-62,2517,366,17264,17,17,17,92,92,92,860.584,860.584,860.584,34.58,,34.58,2.328,3.3,3.3,,10.2,10.2,,8,8,,175.5,175.5,,679.19,679.19,,188.706,188.706,,36.676,36.676,,4.752,4.752,,0.944,0.944,,0.772,0.772,,2.66,2.66,,2.66,2.66,,4.76,4.76,,4.76,4.76,,5.542,5.542,,5.542,5.542,
2023-06-13T10:20:00Z,-60,3117,383,17584,17,17,17,92,92,92,860.64,860.64,860.64,35.844,,35.844,2.378,3.6,3.6,,10.7,10.7,,8.3,8.3,,170.4,170.4,,715.636,715.636,,196.338,196.338,,40.17,40.17,,4.256,4.256,,0.94,0.94,,0.852,0.852,,2.91,2.91,,2.91,2.91,,5.062,5.062,,5.062,5.062,,5.912,5.912,,5.912,5.912,
2023-06-13T10:30:00Z,-58,3717,382,17584,16.8,16.8,16.8,92,92,92,860.64,860.64,860.64,37.464,,37.464,2.308,3.5,3.5,,10.6,10.6,,8.2,8.2,,171.5,171.5,,708.104,708.104,,196.43,196.43,,39.76,39.76,,4.416,4.416,,1.772,1.772,,0.936,0.936,,2.794,2.794,,2.794,2.794,,4.996,4.996,,4.996,4.996,,6.208,6.208,,6.208,6.208,
2023-06-13T10:40:00Z,-58,4317,365,17584,16,16,16,92,92,92,860.66,860.66,860.66,47.716,,47.716,3.046,3.4,3.4,,10.1,10.1,,7.9,7.9,,176.6,176.6,,671.216,671.216,,189.432,189.432,,37.832,37.832,,3.292,3.292,,1.088,1.088,,0.728,0.728,,2.618,2.618,,2.618,2.618,,4.664,4.664,,4.664,4.664,,5.476,5.476,,5.476,5.476,
2023-06-13T10:50:00Z,-58,4917,374,17264,16,16,16,92,92,92,860.652,860.652,860.652,50.626,,50.626,2.464,3.6,3.6,,10.8,10.8,,8.3,8.3,,169.7,169.7,,721.292,721.292,,200.85,200.85,,40.808,40.808,,4.69,4.69,,1.56,1.56,,0.914,0.914,,2.934,2.934,,2.934,2.934,,5.16,5.16,,5.16,5.16,,6.266,6.266,,6.266,6.266,
