time_stamp,uptime,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-06-14T04:20:00Z,294,364,16008,22.75,22.75,,89.75,89.75,,864.375,864.375,,,,,0.02,3.4,3.2,3.5,11.2,11.6,10.9,8.5,8.7,8.4,166,163.3,168.7,749.896,770.96,728.832,198.5435,206.765,190.322,33.6815,30.17,37.193,2.5525,1.917,3.188,0.41900000000000004,0.338,0.5,0.306,0.225,0.387,3.0365,3.228,2.845,3.0365,3.228,2.845,4.66,4.555,4.765,4.66,4.555,4.765,5.02,4.817,5.223,5.02,4.817,5.223
2023-06-14T04:30:00Z,833,372,16784,22,22,,90,90,,864.296,864.296,,,,,0.02,3.3,3.3,3.4,11,11.3,10.8,8.4,8.6,8.3,167.9,165.7,170.2,734.8050000000001,752.152,717.458,196.445,204.014,188.876,33.591,30.676,36.506,2.281,1.486,3.076,0.397,0.418,0.376,0.232,0.234,0.23,3.099,3.296,2.902,3.099,3.296,2.902,4.66,4.538,4.782,4.66,4.538,4.782,5.003,4.862,5.144,5.003,4.862,5.144
2023-06-14T04:40:00Z,1433,363,17053,21.8,21.8,,90,90,,864.15,864.15,,,,,0.02,3.2,3,3.4,10.4,10.6,10.2,8.1,8.2,8,173.3,171.6,175.1,694.5409999999999,707.324,681.758,187.962,196.28,179.644,32.525,27.694,37.356,2.433,1.606,3.26,0.537,0.388,0.686,0.163,0.05,0.276,2.948,3.052,2.844,2.948,3.052,2.844,4.494999999999999,4.27,4.72,4.494999999999999,4.27,4.72,4.818,4.496,5.14,4.818,4.496,5.14
2023-06-14T04:50:00Z,2033,368,17360,21,21,,90,90,,864.138,864.138,,,,,0.02,3.1,3,3.1,10.2,10.3,10.2,8,8,8,175.2,174.7,175.6,681.329,684.33,678.328,184.132,186.316,181.948,30.235999999999997,27.886,32.586,2.094,1.526,2.662,0.509,0.592,0.426,0.22899999999999998,0.292,0.166,2.817,2.88,2.754,2.817,2.88,2.754,4.315,4.206,4.424,4.315,4.206,4.424,4.661,4.586,4.736,4.661,4.586,4.736
2023-06-14T05:00:00Z,2633,359,16400,20.8,20.8,,90,90,,864.124,864.124,,,,,0.02,3,2.9,3.1,10,10,10,7.9,7.9,7.9,177.5,177.5,177.5,664.94,664.926,664.954,180.852,182.976,178.728,30.298000000000002,27.71,32.886,2.366,1.236,3.496,0.5790000000000001,0.226,0.932,0.439,0.084,0.794,2.833,2.948,2.718,2.833,2.948,2.718,4.264,4.04,4.488,4.264,4.04,4.488,4.664,4.184,5.144,4.664,4.184,5.144
2023-06-14T05:10:00Z,3233,399,17360,20,20,,90,90,,864.082,864.082,,,,,0.02,3.2,3.3,3.1,10.7,10.8,10.6,8.3,8.3,8.2,170.8,169.6,172,713.071,722.316,703.826,191.888,199.574,184.202,31.628,31.524,31.732,2.101,1.808,2.394,0.371,0.39,0.352,0.192,0.194,0.19,2.979,3.026,2.932,2.979,3.026,2.932,4.524,4.54,4.508,4.524,4.54,4.508,4.773,4.798,4.748,4.773,4.798,4.748
2023-06-14T05:20:00Z,3833,406,16720,20,20,,90,90,,864.078,864.078,,,,,0.02,3.1,3,3.2,10.3,10.6,10.1,8.1,8.2,8,174,172,176.1,689.7429999999999,704.348,675.138,185.413,190.206,180.62,31.423,28.4,34.446,2.217,1.648,2.786,0.356,0.382,0.33,0.174,0.098,0.25,2.919,2.978,2.86,2.919,2.978,2.86,4.323,4.186,4.46,4.323,4.186,4.46,4.5760000000000005,4.434,4.718,4.5760000000000005,4.434,4.718
2023-06-14T05:30:00Z,4433,474,17360,20,20,,90,90,,863.996,863.996,,,,,0.02,3.1,3.2,3.1,10.3,10.6,10,8,8.2,7.9,174.6,172,177.2,685.3900000000001,703.806,666.974,185.095,191.314,178.876,31.122,30.224,32.02,1.884,1.25,2.518,0.297,0.426,0.168,0.14,0.28,0,3.011,3.182,2.84,3.011,3.182,2.84,4.405,4.352,4.458,4.405,4.352,4.458,4.615,4.64,4.59,4.615,4.64,4.59
2023-06-14T05:40:00Z,5033,384,17040,20,20,,90,90,,863.878,863.878,,,,,0.02,3,3,3.1,10.1,10.5,9.7,8,8.2,7.7,176,172.3,179.8,675.555,701.954,649.156,183.387,193.502,173.272,29.987000000000002,26.146,33.828,2.088,0.818,3.358,0.317,0.098,0.536,0.146,0,0.292,2.851,3.166,2.536,2.851,3.166,2.536,4.246,4.132,4.36,4.246,4.132,4.36,4.454000000000001,4.178,4.73,4.454000000000001,4.178,4.73
2023-06-14T05:50:00Z,5633,363,17040,20,20,,90,90,,863.846,863.846,,,,,0.02,3.3,3.2,3.4,10.9,11.1,10.6,8.3,8.5,8.2,169.3,167,171.6,724.303,741.732,706.874,196.926,203.652,190.2,32.439,29.614,35.264,2.107,1.47,2.744,0.3,0.254,0.346,0.131,0.078,0.184,3.251,3.468,3.034,3.251,3.468,3.034,4.7780000000000005,4.728,4.828,4.7780000000000005,4.728,4.828,4.973000000000001,4.884,5.062,4.973000000000001,4.884,5.062
