time_stamp,uptime,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-06-13T11:20:00Z,182,358,17912,23.5,23.5,,83.5,83.5,,861.16,861.16,,,,,0.02,4.0,4.3,3.7,12.3,12.6,12.1,9.1,9.2,9.0,157.1,155.3,159.0,823.2375,839.445,807.03,231.1625,239.91,222.415,41.9625,46.76,37.165,3.49249999999999,3.775,3.21,0.3075,0.0,0.615,0.2575,0.0,0.515,3.4725,3.755,3.19,3.4725,3.755,3.19,5.73499999999999,6.25,5.22,5.73499999999999,6.25,5.22,6.145,6.53,5.76,6.145,6.53,5.76
2023-06-13T11:30:00Z,541,369,16976,23.0,23.0,,84.5,84.5,,861.115,861.115,,,,,0.02,4.5,4.6,4.4,13.5,13.5,13.5,9.6,9.6,9.6,148.9,149.0,148.9,899.4065,898.835,899.978,255.8485,258.65,253.047,48.6365,49.983,47.29,4.17,4.31,4.03,0.814,0.815,0.813,0.4615,0.323,0.6,4.1335,4.16,4.107,4.1335,4.16,4.107,6.6955,6.803,6.588,6.6955,6.803,6.588,7.318,7.413,7.223,7.318,7.413,7.223
2023-06-14T01:20:00Z,293,351,17544,32.5,32.5,,81.5,81.5,,865.162,865.162,,,,,0.02,7.3,7.2,7.4,22.3,21.6,23.0,13.0,12.8,13.3,106.1,108.7,103.6,1486.06,1436.84,1535.28,422.5375,412.75,432.325,78.151,79.017,77.285,6.766,8.01,5.522,0.849,0.748,0.95,0.404999999999999,0.115,0.695,7.6905,7.373,8.008,7.6905,7.373,8.008,11.8675,12.065,11.67,11.8675,12.065,11.67,12.5415,12.685,12.398,12.5415,12.685,12.398
2023-06-14T01:30:00Z,833,363,17960,30.4,30.4,,83.4,83.4,,865.156,865.156,,,,,0.02,6.0,5.8,6.2,18.9,18.0,19.9,11.9,11.5,12.2,119.1,123.3,115.2,1263.121,1201.524,1324.718,357.638,344.148,371.128,60.828,59.778,61.878,4.64199999999999,4.95,4.334,0.617,0.558,0.676,0.396,0.274,0.518,6.378,5.978,6.778,6.378,5.978,6.778,9.57999999999999,9.322,9.838,9.57999999999999,9.322,9.838,10.17,9.952,10.388,10.17,9.952,10.388
2023-06-14T01:40:00Z,1433,363,17269,29.0,29.0,,84.4,84.4,,865.056,865.056,,,,,0.02,5.1,5.1,5.1,16.5,16.0,17.1,10.9,10.7,11.1,130.7,133.6,127.9,1102.239,1066.276,1138.202,311.536,306.162,316.91,50.461,51.412,49.51,3.542,3.662,3.422,0.506,0.52,0.492,0.383,0.318,0.448,5.745,5.37,6.12,5.745,5.37,6.12,8.211,8.15,8.272,8.211,8.15,8.272,8.619,8.55,8.688,8.619,8.55,8.688
2023-06-14T01:50:00Z,2033,363,18216,28.0,28.0,,85.0,85.0,,864.536,864.536,,,,,0.02,5.0,5.1,4.8,16.0,15.8,16.3,10.7,10.6,10.8,133.5,134.8,132.2,1067.911,1051.972,1083.85,300.637,296.252,305.022,50.128,53.932,46.324,3.575,4.13,3.02,0.694,0.462,0.926,0.625,0.324,0.926,5.185,4.852,5.518,5.185,4.852,5.518,7.716,7.894,7.538,7.716,7.894,7.538,8.298,8.318,8.278,8.298,8.318,8.278
2023-06-14T02:00:00Z,2633,369,17896,27.2,27.2,,85.4,85.4,,864.492,864.492,,,,,0.02,4.3,4.2,4.5,14.1,13.8,14.4,9.9,9.8,10.0,144.8,146.6,143.0,941.007,922.658,959.356,267.751,264.326,271.176,43.358,42.154,44.562,3.303,3.996,2.61,0.314,0.468,0.16,0.193,0.262,0.124,4.648,4.286,5.01,4.648,4.286,5.01,6.874,6.708,7.04,6.874,6.708,7.04,7.215,7.256,7.174,7.215,7.256,7.174
2023-06-14T02:10:00Z,3233,771,17576,26.6,26.6,,87.0,87.0,,864.98,864.98,,,,,0.02,3.8,4.0,3.7,12.4,12.3,12.5,9.1,9.1,9.2,156.8,157.6,155.9,826.431,818.88,833.982,234.738,235.384,234.092,38.0999999999999,41.66,34.54,2.487,3.25,1.724,0.301,0.098,0.504,0.301,0.098,0.504,3.84199999999999,3.76,3.924,3.84199999999999,3.76,3.924,5.746,6.058,5.434,5.746,6.058,5.434,6.045,6.276,5.814,6.045,6.276,5.814
2023-06-14T02:20:00Z,3833,388,18216,26.2,26.2,,87.0,87.0,,864.93,864.93,,,,,0.02,3.7,3.8,3.7,11.9,11.7,12.2,8.9,8.8,9.0,160.6,162.5,158.6,793.956,777.404,810.508,222.982,221.05,224.914,38.182,40.12,36.244,3.175,3.704,2.646,0.48,0.596,0.364,0.33,0.4,0.26,3.665,3.514,3.816,3.665,3.514,3.816,5.676,5.774,5.578,5.676,5.774,5.578,6.093,6.312,5.874,6.093,6.312,5.874
2023-06-14T02:30:00Z,4433,434,17576,26.0,26.0,,87.4,87.4,,864.796,864.796,,,,,0.02,3.9,4.1,3.8,12.6,12.8,12.4,9.2,9.3,9.1,155.4,154.0,156.8,838.86,851.284,826.436,236.783,241.72,231.846,39.295,42.196,36.394,2.628,3.206,2.05,0.193,0.0,0.386,0.166,0.0,0.332,3.955,3.884,4.026,3.955,3.884,4.026,6.031,6.3,5.762,6.031,6.3,5.762,6.262,6.45,6.074,6.262,6.45,6.074
2023-06-14T02:40:00Z,5033,367,17896,25.4,25.4,,87.8,87.8,,864.726,864.726,,,,,0.02,3.6,3.6,3.6,12.0,11.8,12.1,8.9,8.8,9.0,160.0,161.4,158.7,798.362,787.004,809.72,225.0,223.162,226.838,35.321,35.978,34.664,3.03099999999999,3.012,3.05,0.337999999999999,0.102,0.574,0.313,0.102,0.524,3.634,3.386,3.882,3.634,3.386,3.882,5.666,5.576,5.756,5.666,5.576,5.756,5.926,5.66,6.192,5.926,5.66,6.192
2023-06-14T02:50:00Z,5633,363,18216,25.0,25.0,,87.0,87.0,,864.668,864.668,,,,,0.02,3.6,3.5,3.7,12.1,11.6,12.5,9.0,8.7,9.2,159.1,162.8,155.7,805.891,775.406,836.376,227.808,220.408,235.208,35.031,35.296,34.766,2.62299999999999,3.328,1.918,0.296,0.454,0.138,0.096,0.098,0.094,3.733,3.284,4.182,3.733,3.284,4.182,5.506,5.246,5.766,5.506,5.246,5.766,5.729,5.556,5.902,5.729,5.556,5.902
2023-06-14T03:00:00Z,6233,375,18216,25.4,25.4,,87.0,87.0,,864.664,864.664,,,,,0.02,3.8,3.8,3.9,12.8,12.3,13.3,9.3,9.0,9.5,153.9,157.8,150.3,851.871,817.268,886.474,241.691,233.732,249.65,37.714,38.188,37.24,3.089,2.804,3.374,0.246,0.202,0.29,0.109,0.0,0.218,4.002,3.742,4.262,4.002,3.742,4.262,6.043,5.782,6.304,6.043,5.782,6.304,6.251,5.964,6.538,6.251,5.964,6.538
2023-06-14T03:10:00Z,6833,376,18216,25.4,25.4,,86.4,86.4,,864.146,864.146,,,,,0.02,3.9,3.9,3.9,13.0,12.4,13.6,9.4,9.1,9.7,152.6,157.0,148.4,864.661,824.802,904.52,244.057,234.012,254.102,37.616,40.03,35.202,2.577,3.62,1.534,0.272,0.328,0.216,0.132,0.048,0.216,4.085,3.688,4.482,4.085,3.688,4.482,6.055,6.032,6.078,6.055,6.032,6.078,6.32,6.32,6.32,6.32,6.32,6.32
2023-06-14T03:20:00Z,7433,363,18216,25.0,25.0,,87.0,87.0,,864.528,864.528,,,,,0.02,3.9,3.8,3.9,12.4,12.3,12.5,9.1,9.0,9.2,156.9,157.8,156.0,825.469,817.394,833.544,233.767,234.294,233.24,38.562,38.816,38.308,2.62399999999999,3.308,1.94,0.125,0.078,0.172,0.100999999999999,0.03,0.172,3.971,3.798,4.144,3.971,3.798,4.144,5.943,6.052,5.834,5.943,6.052,5.834,6.135,6.262,6.008,6.135,6.262,6.008
2023-06-14T03:30:00Z,8033,411,17896,25.0,25.0,,87.2,87.2,,864.556,864.556,,,,,0.02,3.8,3.7,3.9,12.6,12.1,13.0,9.2,9.0,9.4,155.6,158.8,152.5,836.957,808.862,865.052,235.736,227.972,243.5,36.96,36.844,37.076,2.416,2.286,2.546,0.302,0.104,0.5,0.284,0.104,0.464,3.952,3.73,4.174,3.952,3.73,4.174,5.762,5.7,5.824,5.762,5.7,5.824,6.058,5.874,6.242,6.058,5.874,6.242
2023-06-14T03:40:00Z,8633,382,18216,25.0,25.0,,87.8,87.8,,864.414,864.414,,,,,0.02,3.6,3.5,3.6,11.7,11.6,11.8,8.8,8.7,8.8,162.2,163.3,161.1,780.364,771.41,789.318,220.438,219.84,221.036,34.856,35.186,34.526,2.408,2.664,2.152,0.304,0.254,0.354,0.186,0.17,0.202,3.57,3.366,3.774,3.57,3.366,3.774,5.287,5.322,5.252,5.287,5.322,5.252,5.548,5.604,5.492,5.548,5.604,5.492
2023-06-14T03:50:00Z,9233,359,18216,25.0,25.0,,88.0,88.0,,864.44,864.44,,,,,0.02,3.4,3.5,3.3,11.5,11.3,11.6,8.6,8.6,8.7,164.3,165.4,163.2,763.476,754.604,772.348,214.031,214.154,213.908,33.047,35.848,30.246,2.413,3.152,1.674,0.381,0.32,0.442,0.267,0.214,0.32,3.419,3.214,3.624,3.419,3.214,3.624,5.047,5.172,4.922,5.047,5.172,4.922,5.448,5.606,5.29,5.448,5.606,5.29
2023-06-14T04:00:00Z,9833,374,17576,25.0,25.0,,88.4,88.4,,864.42,864.42,,,,,0.02,3.4,3.3,3.4,11.7,11.3,12.0,8.7,8.6,8.9,162.6,165.4,159.9,776.727,754.28,799.174,217.911,211.664,224.158,31.604,32.306,30.902,2.482,3.092,1.872,0.393,0.386,0.4,0.376,0.386,0.366,3.508,3.158,3.858,3.508,3.158,3.858,5.147,5.064,5.23,5.147,5.064,5.23,5.548,5.51,5.586,5.548,5.51,5.586
2023-06-14T04:10:00Z,10433,361,17896,25.0,25.0,,88.8,88.8,,864.192,864.192,,,,,0.02,3.7,3.7,3.6,12.0,11.6,12.5,8.9,8.7,9.2,159.6,163.3,156.0,802.276,771.134,833.418,223.54,216.278,230.802,35.699,37.982,33.416,2.084,2.24,1.928,0.165,0.082,0.248,0.145,0.082,0.208,3.468,3.16,3.776,3.468,3.16,3.776,5.31,5.256,5.364,5.31,5.256,5.364,5.446,5.352,5.54,5.446,5.352,5.54
