Sensor,Coefficient,Intercept
MNUMS 109,0.7252234481671214,1.517433568829678
MNUMS 110,0.7255122253806189,2.625687725734384
MNUMS 111,0.7468466761945738,2.6675250481029344
MNUMS 112,0.7505128969185704,2.4511514649419475
MNUMS 113,0.8001808358826972,2.0070666913915742
MNUMS 114,0.749318357608302,1.5777789391562616
MNUMS 115,0.7468018972843568,2.6450899894314697
MNUMS 116,0.8302515472601374,2.0366783572064673
MNUMS 117,0.8371162418604945,1.826473252528504
MNUMS 118,0.7518162726657726,1.4191719200237127
MNUMS 119,0.7321650322703395,1.1409796244168522
MNUMS 120,0.7398983063404467,1.1139758094101353
MNUMS 85,0.662749316906003,1.570144833299791
MNUMS 86,0.459251139635487,3.798953281446828
MNUMS 87,0.5389922991203,3.8170687405524557
