Sensor,Coefficient,Intercept
MNUMS 109,0.10323426679793489,3.6771333093505905
MNUMS 110,0.3044636714282056,2.6206501769221378
MNUMS 111,0.2777949797120348,2.540432855529982
MNUMS 112,0.32568279366172476,2.5215572159057107
MNUMS 113,0.2667769254825171,2.4205223698297926
MNUMS 114,0.16088085889612339,3.200253028270409
MNUMS 115,0.29028511376307004,2.5540693648700508
MNUMS 116,0.3248384998361252,2.5215348289151946
MNUMS 117,0.32525654885860417,2.548938571329148
MNUMS 118,0.1422014995035833,3.4083137462908644
MNUMS 119,0.14542289362294283,3.5123303265419072
MNUMS 120,0.1568754186625034,3.365941727923926
MNUMS 85,0.14405426255896614,3.503580685398838
MNUMS 86,0.1442396581313945,3.471141045145674
MNUMS 87,0.1759095518560931,3.3604144693344145
