Sensor,Coefficient,Intercept
MNUMS 109,0.10358240957610283,4.031862377552855
MNUMS 110,0.322468459355927,2.8873050568854213
MNUMS 111,0.2906702540166567,2.801780464472402
MNUMS 112,0.34994057192162376,2.767502975794832
MNUMS 113,0.26360786442449485,2.7130210445846514
MNUMS 114,0.16893971030635352,3.5138147721797335
MNUMS 115,0.296148277768024,2.8353171853489716
MNUMS 116,0.325513035064661,2.815351806626943
MNUMS 117,0.3396464825994195,2.819356702679613
MNUMS 118,0.1509091602752273,3.743001367627527
MNUMS 119,0.1516483136826264,3.8520454354176477
MNUMS 120,0.16318044339165805,3.6911260478156116
MNUMS 85,0.15576859861004191,3.8328380641868165
MNUMS 86,0.14753565391845186,3.752010313127615
MNUMS 87,0.18776322590399877,3.666392804965275
