Sensor,Coefficient,Intercept
MNUMS 109,0.7318013719537443,1.3690341077585018
MNUMS 110,0.6990326253302777,2.404761309387439
MNUMS 111,0.7225029506302689,2.458044839256168
MNUMS 112,0.7940715901456381,2.072365439778978
MNUMS 113,0.8086300145744236,1.750527691439582
MNUMS 114,0.7712010920262627,1.4431852119269193
MNUMS 115,0.7532439994266124,2.3328870338591603
MNUMS 116,0.8887095451425641,1.638432764483463
MNUMS 117,0.8699480364301821,1.513573118926355
MNUMS 118,0.7384728313544059,1.3285972635487244
MNUMS 119,0.7398057627763949,1.0599886792415578
MNUMS 120,0.7380108904424016,1.0624531941621287
MNUMS 85,0.6733950538413925,1.4365322327900207
MNUMS 86,0.4730760075061174,3.4691378968540407
MNUMS 87,0.5424149979476981,3.486051677801929
