Sensor,Coefficient,Intercept
MNUMS 109,0.11034283221718465,3.6467552259891454
MNUMS 110,0.30053063032926614,2.5901788763617866
MNUMS 111,0.2913203043214401,2.5633249811799077
MNUMS 112,0.32569499520138834,2.506153715103899
MNUMS 113,0.28325959562798064,2.484108713377723
MNUMS 114,0.16490232209902764,3.2493727421807765
MNUMS 115,0.29605214445223904,2.5969624581884867
MNUMS 116,0.3268667555016136,2.5253548252754996
MNUMS 117,0.3229896991434792,2.5193664441594237
MNUMS 118,0.1440872966778732,3.4034415543899263
MNUMS 119,0.13989082991573812,3.472838267973689
MNUMS 120,0.15113600266281335,3.3549747586542926
MNUMS 85,0.14220530957745156,3.430063290737416
MNUMS 86,0.14131801838037808,3.4763515644958876
MNUMS 87,0.17394588907199723,3.3805551982231874
