time_stamp,rssi,uptime,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2023-11-21T02:50:00Z,-32,119,,13972,,,,,,,,,,,,,,27.4,28.4,26.4,72.4,70.8,74,22.7,22.5,22.9,40.3,41.1,39.5,4825.1025,4718.345,4931.86,1360.22,1356.875,1363.565,342.435,361.075,323.795,43.18,42.315,44.045,6.6325,5.935,7.33,1.4049999999999998,2.155,0.655,27.057499999999997,26.485,27.63,23.619999999999997,23.235,24.005,40.155,40.355,39.955,48.235,48.765,47.705,49.495000000000005,49.47,49.52,52.790000000000006,52.84,52.74
2023-11-21T03:00:00Z,-35,477,1189,15760,,,,,,,,,,,,,0.01,29.9,30.5,29.3,78.1,77.5,78.6,23.4,23.3,23.5,37.6,37.9,37.4,5205.108,5168.652,5241.564,1474.618,1482.92,1466.316,374.015,384.004,364.026,45.881,44.976,46.786,6.895,7.992,5.798,1.875,2.862,0.888,29.596,29.564,29.628,25.253999999999998,25.208,25.3,42.371,42.426,42.316,52.769,53.04,52.498,52.388999999999996,52.842,51.936,57.552,58.35,56.754
2023-11-21T03:10:00Z,-38,1076,1177,15936,,,,,,,,,,,,,0.01,27,27.3,26.7,71.3,70.5,72.2,22.6,22.5,22.7,40.8,41.2,40.4,4756.433,4701.662,4811.204,1349.866,1351.858,1347.874,338.633,347.02,330.246,44.428,45.934,42.922,6.414,8.144,4.684,1.488,2.382,0.594,27.091,26.964,27.218,23.704,23.622,23.786,40.149,40.308,39.99,48.21,48.5,47.92,49.394000000000005,50.17,48.618,52.617000000000004,53.9,51.334
2023-11-21T03:20:00Z,-39,1646,1305,15936,,,,,,,,,,,,,0.01,24.5,24.7,24.3,65.1,63.5,66.6,21.8,21.5,22,44.3,45.2,43.4,4338.2065,4236.445,4439.968,1228.3155,1212.588,1244.043,304.9085,307.512,302.305,39.2115,35.708,42.715,6.557499999999999,7.6,5.515,2.1425,3.47,0.815,24.4185,24.207,24.63,22.237499999999997,22.205,22.27,37.499,37.093,37.905,43.2025,42.398,44.007,46.1955,46.133,46.258,47.763,47.598,47.928
2023-11-21T03:30:00Z,-35,2276,1187,15936,,,,,,,,,,,,,0.01,22.9,23.1,22.7,60.9,59.7,62,21.2,21,21.3,47,47.8,46.2,4056.766,3978.102,4135.43,1151.2060000000001,1144.222,1158.19,286.371,291.938,280.804,38.021,38.02,38.022,5.154,6.416,3.892,1.321,2.174,0.468,23.059,23.036,23.082,21.589,21.578,21.6,36.351,36.212,36.49,41.078,40.858,41.298,44.012,44.368,43.656,44.74,45.194,44.286
2023-11-21T03:40:00Z,-34,2876,1181,15936,,,,,,,,,,,,,0.01,20.7,21.1,20.4,55.4,54.4,56.4,20.3,20.2,20.5,51,51.8,50.2,3692.703,3625.91,3759.496,1043.2440000000001,1038.554,1047.934,260.209,270.394,250.024,35.608000000000004,38.058,33.158,5.444,6.58,4.308,1.6280000000000001,2.548,0.708,20.597,20.52,20.674,19.966,19.892,20.04,33.845,34.16,33.53,36.942,37.448,36.436,40.713,41.848,39.578,40.894,42.11,39.678
2023-11-21T03:50:00Z,-37,3476,1208,15902,,,,,,,,,,,,,0.01,19.6,19.6,19.7,52.4,51.2,53.6,19.9,19.7,20.1,53.5,54.5,52.5,3493.531,3416.486,3570.576,987.606,978.022,997.19,247.245,247.324,247.166,33.862,33.584,34.14,5.291,6.332,4.25,1.324,1.862,0.786,19.36,19.228,19.492,19.1,19.042,19.158,32.655,32.616,32.694,34.949,34.834,35.064,38.599000000000004,38.876,38.322,38.628,38.906,38.35
2023-11-21T04:00:00Z,-41,4077,1201,15902,,,,,,,,,,,,,0.01,18.2,18.2,18.3,49.4,48,50.7,19.3,19.1,19.6,56.3,57.7,55,3290.103,3197.614,3382.592,926.1700000000001,916.248,936.092,228.82299999999998,234.094,223.552,32.445,36.096,28.794,5.194,7.08,3.308,1.7879999999999998,3.014,0.562,18.192,17.906,18.478,18.15,17.888,18.412,31.127000000000002,31.338,30.916,32.57,32.894,32.246,36.298,37.722,34.874,36.309,37.744,34.874
2023-11-21T04:10:00Z,-43,4677,1231,15936,,,,,,,,,,,,,0.01,20.3,20.5,20.1,53.6,52.4,54.8,20.1,19.9,20.3,52.5,53.5,51.5,3574.864,3494.948,3654.78,1010.363,999.766,1020.96,254.552,260.546,248.558,32.407,32.71,32.104,4.718,6.05,3.386,1.692,3.028,0.356,20.083,19.772,20.394,19.502000000000002,19.198,19.806,33.057,32.812,33.302,35.672,35.34,36.004,38.921,39.318,38.524,39.211,39.656,38.766
2023-11-21T04:20:00Z,-48,5277,1243,15936,,,,,,,,,,,,,0.01,24.6,24.8,24.4,65.5,64.1,66.9,21.8,21.6,22,44,44.9,43.2,4368.382,4274.93,4461.834,1234.9340000000002,1226.536,1243.332,307.392,312.778,302.006,39.535,39.324,39.746,6.111,7.92,4.302,1.5020000000000002,2.736,0.268,24.569000000000003,24.352,24.786,22.442,22.33,22.554,37.915,37.596,38.234,43.784,43.238,44.33,46.446,46.696,46.196,48.025,48.458,47.592
