Unnamed: 0,AP_Rs,CO_Rs,NO2_Rs,NOX_Rs,NO_Rs,P10_Rs,P25_Rs,Pr_Rs,RH_Rs,SO2_Rs,T_Rs,WD_Rs,WS_Rs
,hPa,mg/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,mm,%,ug/m3,DegC,degres,m/s
2023-11-28 00:15:00,871,1.79,66,86,14,,83,0,65,31,-17,51,1
2023-11-28 00:30:00,871,1.661,67,86,13,,83,0,65,33,-16.9,48,1
2023-11-28 00:45:00,871,1.708,69,86,11,,83,0,65,32,-17.1,43,1
2023-11-28 01:00:00,871,1.697,68,128,39,,73,0,65,31,-16.9,66,1
2023-11-28 01:15:00,871,2.012,71,111,25,,67,0,65,32,-17.1,43,1
2023-11-28 01:30:00,871,1.837,70,99,19,,67,0,65,33,-17.4,58,1
2023-11-28 01:45:00,871,2.235,71,124,35,,67,0,65,35,-17.3,12,0
2023-11-28 02:00:00,871,3.159,77,153,50,,68,0,65,38,-17.1,63,1
2023-11-28 02:15:00,871,4.469,81,191,73,,69,0,65,46,-17.1,47,0
2023-11-28 02:30:00,871,4.411,83,239,103,,69,0,65,48,-16.6,198,0
2023-11-28 02:45:00,871,3.311,82,229,96,,69,0,65,43,-16.3,272,1
2023-11-28 03:00:00,871,3.779,82,231,98,,96,0,66,42,-16.3,214,1
2023-11-28 03:15:00,872,3.756,82,239,103,,114,0,66,40,-16.1,233,1
2023-11-28 03:30:00,872,3.966,80,210,85,,114,0,66,38,-16.3,283,2
2023-11-28 03:45:00,872,3.686,81,197,76,,114,0,67,37,-16.5,278,1
2023-11-28 04:00:00,872,2.551,78,155,50,,118,0,68,34,-16.7,282,2
2023-11-28 04:15:00,872,2.223,78,140,40,,120,0,69,31,-17,276,1
2023-11-28 04:30:00,872,2.235,78,145,44,,120,0,69,32,-17.1,257,0
2023-11-28 04:45:00,872,2.165,76,145,45,,120,0,69,31,-16.8,21,0
2023-11-28 05:00:00,872,2.165,77,166,58,,104,0,69,31,-16.4,179,0
2023-11-28 05:15:00,872,2.305,79,159,53,,94,0,68,30,-16.1,292,0
2023-11-28 05:30:00,872,3.019,78,199,79,,94,0,67,31,-16.2,298,0
2023-11-28 05:45:00,872,2.878,80,187,70,,94,0,67,31,-16,282,1
2023-11-28 06:00:00,872,2.714,82,268,121,,83,0,66,31,-16,202,0
2023-11-28 06:15:00,873,2.118,84,216,88,,76,0,66,31,-16.3,239,1
2023-11-28 06:30:00,873,1.463,79,143,43,,76,0,65,29,-16.5,258,1
2023-11-28 06:45:00,873,1.053,64,151,56,,76,0,65,27,-16.3,27,1
