Sensor,Coefficient,Intercept
MNUMS 158,0.5169888069746192,7.686219688961886
MNUMS 196,0.5848574746016298,5.8591847055639015
MNUMS 139,0.4852004724317768,7.827329012003889
MNUMS 175,0.5424164719155562,8.064034304920394
MNUMS 130,0.5357004404484274,7.835947835660913
MNUMS 152,0.14150825948586124,13.395601831051955
MNUMS 183,0.6026660168667844,5.596605683611234
MNUMS 142,0.5070995093798916,8.239379577907897
MNUMS 131,0.6643522880776674,6.9556190531868385
MNUMS 141,0.051114821453464784,14.755771217730478
MNUMS 129,0.12148549403730285,13.673948603448832
MNUMS 203,0.94652655402841,3.4775423566687653
MNUMS 156,0.528474441129315,7.977747545389322
MNUMS 124,0.5263664043135908,8.289844489150447
MNUMS 190,0.6324322148294449,7.472952477049413
MNUMS 194,0.5270843218235669,6.889237320680676
MNUMS 162,0.4882349080253874,6.853657317020463
MNUMS 172,0.5115134099154153,6.610003059016185
MNUMS 121,0.046247821794723476,14.654625813285017
MNUMS 164,0.545316367002172,6.752405259201144
MNUMS 186,0.5153933957323693,6.433929200796888
MNUMS 154,0.07797144280714012,14.036683248264413
MNUMS 122,0.5136612660100821,7.507065614584814
MNUMS 149,0.494137881479288,7.165224872326261
MNUMS 202,0.5017396832357202,6.6382661399013845
MNUMS 137,0.47507764987605416,6.969062584280115
MNUMS 170,0.518533390725935,6.507660969931697
MNUMS 132,0.5282817286373497,6.901445689337139
MNUMS 159,0.5164324747424346,6.9357687421797785
MNUMS 168,0.5059452199310907,6.785876221610232
MNUMS 161,0.5015070357241639,6.693796756656756
MNUMS 166,0.4982081947920385,6.858073243117277
MNUMS 128,0.15727200536512426,13.079262316604638
MNUMS 169,0.1401390320822907,13.243174041725805
MNUMS 204,0.6185808311647929,6.831715983283159
MNUMS 126,0.15699110878984168,13.09094189297496
MNUMS 206,0.6124534607909414,6.708438695537133
MNUMS 148,0.6453950927744052,6.4949727472891485
MNUMS 195,0.49819645531937395,8.063552719078917
MNUMS 180,0.5484609263427441,7.957776979970579
MNUMS 182,0.5119330780471694,8.261537918715188
MNUMS 187,0.5950431207392257,7.555335196365671
MNUMS 176,0.6122283717213787,7.179148109296438
MNUMS 184,0.564274505858783,7.034170485295158
MNUMS 135,0.6343301037716192,6.620089506597438
MNUMS 147,0.6214483646274991,7.067704421562681
MNUMS 153,0.610044750366123,6.948723370455955
MNUMS 189,0.6005294139190807,6.484118075295189
MNUMS 127,0.6311976231840475,7.093223673953796
MNUMS 199,0.13214951514272993,13.420169827010977
MNUMS 179,0.6128416582622289,6.965893084230887
MNUMS 123,0.12291648342116196,13.55866215419185
MNUMS 174,0.5588337490466843,7.383437418254296
MNUMS 192,0.13483034088700643,13.375543664782338
MNUMS 185,0.5934990936073256,7.194885611640808
MNUMS 193,0.6158103856902641,6.942984920842472
MNUMS 205,0.54621206775827,7.428933021111398
MNUMS 163,0.10178112887532537,13.903122071873284
MNUMS 165,0.09192847880358454,14.095828301622868
MNUMS 171,0.670429130447055,6.1833224611962265
MNUMS 188,0.11163449344639033,13.721288700332739
MNUMS 125,0.5845310260670961,7.211817611113009
MNUMS 143,0.5569561148318007,7.352912203279363
MNUMS 198,0.5192297484532439,8.160685003937598
MNUMS 173,0.6289615155585446,6.649096036790487
MNUMS 181,0.6111049507229039,6.90363341799547
MNUMS 178,0.6356314141607319,6.556896712761434
MNUMS 138,0.09019726036678404,14.062952708085758
MNUMS 160,0.5987766422374755,6.783919854569861
MNUMS 140,0.6460287365960837,7.15976830908251
MNUMS 136,0.6240030653908716,7.055684303859724
MNUMS 155,0.6086111535950857,6.9080137894671605
MNUMS 197,0.6425632880609513,7.1984420484247345
MNUMS 150,-0.29055654699169975,21.196981402535233
MNUMS 200,-0.3696607435579182,22.526182078799373
MNUMS 151,-0.1005242823977093,17.48996181594291
MNUMS 146,0.07053120793546161,14.187838052090006
MNUMS 191,-0.17403681288130407,18.794179440998956
MNUMS 145,-0.07366859310264938,16.935410118002224
MNUMS 167,0.02777575174380505,15.01416770286301
MNUMS 201,0.13729796009363598,13.004559720209548
MNUMS 134,-0.30954750151655264,21.157472631516008
MNUMS 157,0.006784583192066144,15.398602536117842
MNUMS 144,0.12695862798036625,13.20536999564771
MNUMS 133,0.13405728113001053,13.093096890353424
MNUMS 177,-0.12577012903871648,17.902010729076647
