Sensor,Coefficient,Intercept
MNUMS 158,0.6788596643069469,2.4078511227571693
MNUMS 196,0.7653318535016767,1.2395200860841111
MNUMS 139,0.5938557742074299,2.1448281104904527
MNUMS 175,0.6017352822190409,2.2178246948853726
MNUMS 130,0.6691691770579461,2.270464401042641
MNUMS 152,0.13087170379479518,4.460114358150561
MNUMS 183,0.8458298646503554,1.9105899464756462
MNUMS 142,0.6030436067553853,2.297648850188242
MNUMS 131,0.6549921230669162,1.4055595291836998
MNUMS 141,0.1323670167986735,4.4562120838249974
MNUMS 129,0.13444916932830606,4.369390340012436
MNUMS 203,0.8785058597212869,1.3545770761675087
MNUMS 156,0.6525273380984328,2.2602108040943554
MNUMS 124,0.6348664842353176,2.3224160836004453
MNUMS 190,0.06471420065495677,5.288988538255432
MNUMS 194,0.6039831595003676,1.9184642134104055
MNUMS 162,0.6972049942575399,1.914070434007983
MNUMS 172,0.6138937504029073,2.001104331219562
MNUMS 121,0.13971725606335092,4.320080617012923
MNUMS 164,0.6172746221576364,2.537180070146875
MNUMS 186,0.612534273531618,1.975135795070201
MNUMS 154,0.14101797404186356,4.425867278352595
MNUMS 122,0.6482988758707905,1.9214106027340025
MNUMS 149,0.2970282077687849,3.8297417250343124
MNUMS 202,0.6938162717876958,1.8910459285771748
MNUMS 137,0.7204273301413873,2.348840118439429
MNUMS 170,0.5702751368530165,2.108018031474005
MNUMS 132,0.6299022515717569,2.2608019646995468
MNUMS 159,0.621647261348636,1.9323786761907358
MNUMS 168,0.6336915392026966,2.541501675287207
MNUMS 161,0.5989351930142819,2.2357476132642544
MNUMS 166,0.5523032856867439,2.2654436916467002
MNUMS 128,0.12925851433598157,4.469545138009684
MNUMS 169,0.13294977414578454,4.4014218625774735
MNUMS 204,0.8419374974031222,1.8175268942098124
MNUMS 126,0.1300215656266336,4.5644359736785765
MNUMS 206,0.9664943723430153,1.7982086072251242
MNUMS 148,0.7644457321595636,1.2874010281543669
MNUMS 195,0.6253745624611434,1.9171440705980647
MNUMS 180,0.33986275316472775,3.7443896085853074
MNUMS 182,0.4038802760808834,3.5891949117458566
MNUMS 187,0.791300436857347,1.6462846221526775
MNUMS 176,0.8186283310321342,1.7053761535300875
MNUMS 184,0.7469523320197653,1.5387263133743483
MNUMS 135,0.7085404039146521,1.309864455551013
MNUMS 147,0.7520560765866106,1.6319110364389133
MNUMS 153,0.8053870998793675,1.5088719818784684
MNUMS 189,0.8130899238728958,1.8546967667186638
MNUMS 127,0.9316244588277939,1.5634360821927
MNUMS 199,0.13143632174361156,4.527389171257157
MNUMS 179,0.7550365065804366,1.7821856838581862
MNUMS 123,0.1272896344129352,4.623089835955718
MNUMS 174,0.7635393344518573,1.4654657039772205
MNUMS 192,0.12570773981610128,4.631723617639533
MNUMS 185,0.655067525875529,2.209704302661866
MNUMS 193,0.8397511791383844,1.9077940566480858
MNUMS 205,0.9052313281933964,2.0296437612604126
MNUMS 163,0.12870273417869355,4.469229321902471
MNUMS 165,0.13477117314919973,4.443642216766378
MNUMS 171,0.8522606132610332,1.6062931352628502
MNUMS 188,0.1279356750875844,4.5276304546394766
MNUMS 125,0.772636495472664,2.083135489005599
MNUMS 143,0.7236078900150792,1.4299583404913259
MNUMS 198,0.33994441801727154,3.8879071280706294
MNUMS 173,0.8220725429735694,1.810797783627986
MNUMS 181,0.7618907399081644,1.6162237114084084
MNUMS 178,0.8077645958084826,1.6330320081969711
MNUMS 138,0.14117801861418766,4.447662725822687
MNUMS 160,0.7285607104082312,1.5080378853975756
MNUMS 140,0.7109179537626412,1.230786660346932
MNUMS 136,0.8097157772374579,1.478080867679723
MNUMS 155,0.7416898005552134,1.3564789554949312
MNUMS 197,0.7735642874522818,1.358933338138379
MNUMS 150,0.09569908580125448,4.652933364574396
MNUMS 200,0.06480875353587139,4.903384376673236
MNUMS 151,0.08990342411571053,4.667488178611246
MNUMS 146,0.11861094115832752,4.432898097344298
MNUMS 191,0.083040631895319,4.755801736780354
MNUMS 145,0.05385504977375601,5.073614855994108
MNUMS 167,0.12990710611944997,4.2661736744395435
MNUMS 201,0.12594021284172097,4.36977517882672
MNUMS 134,0.06246234530120746,4.957468198170388
MNUMS 157,0.08868456341105754,4.669663212199017
MNUMS 144,0.104944346376624,4.581578465669716
MNUMS 133,0.12098330502334217,4.326093843256413
MNUMS 177,0.09367205487336916,4.686230729710861
