Sensor,Coefficient,Intercept
MNUMS 148,0.9358713083654048,[0.51958006]
MNUMS 149,1.0175742900959246,[-0.90357487]
MNUMS 158,0.9590413906931882,[-2.23816341]
MNUMS 128,1.0545798016681258,[-0.37342661]
MNUMS 178,0.868320349244502,[0.65026292]
MNUMS 129,1.0334590922495523,[-0.23105821]
MNUMS 139,1.0020349601137857,[-2.10200708]
MNUMS 168,0.9421092682077653,[-0.30728295]
MNUMS 169,0.9808885252922737,[0.41324168]
MNUMS 138,1.0561311665674993,[-0.38796229]
MNUMS 121,0.996199069030655,[0.30959581]
MNUMS 135,1.0258131468025136,[0.4310559]
MNUMS 164,0.8945417585160258,[-1.4654934]
MNUMS 170,0.9033413173327434,[-1.62666661]
MNUMS 165,0.9596244078258565,[0.51501212]
MNUMS 159,0.942990697763554,[-2.21513395]
MNUMS 134,1.0896083660376636,[0.34002139]
MNUMS 136,1.020401880997591,[0.02472026]
MNUMS 122,0.9711749312237635,[0.08844288]
MNUMS 167,0.933827839043287,[-1.07842006]
MNUMS 166,0.9623202970589786,[0.7151594]
MNUMS 123,1.0684619466412915,[0.51727737]
MNUMS 137,0.9729210571684818,[-1.66181803]
MNUMS 133,1.0170382203484258,[-0.29440696]
MNUMS 127,1.019905553344073,[0.53764166]
MNUMS 176,0.9219005236445322,[1.15900785]
MNUMS 162,0.916976797680342,[-1.51247041]
MNUMS 163,0.9802922091588814,[-1.38757221]
MNUMS 177,0.8512969107565892,[-0.95016136]
MNUMS 126,1.0455018860577932,[0.78516029]
MNUMS 132,1.0820538257747656,[-0.74106591]
MNUMS 124,1.0087090602900712,[0.08098364]
MNUMS 130,1.0674645816888537,[-0.43527103]
MNUMS 161,0.9470957417344741,[-0.07930546]
MNUMS 175,0.8977775367970493,[0.90404161]
MNUMS 160,0.9428255198021672,[-2.03697106]
MNUMS 131,1.0478060771354136,[0.31436792]
MNUMS 125,1.0104714749343533,[0.10619862]
MNUMS 142,1.0211940870164355,[0.42362369]
MNUMS 156,0.9206398417462086,[-1.88683213]
MNUMS 157,0.9883633686565145,[0.27650976]
MNUMS 143,1.004972355172667,[0.90118151]
MNUMS 155,0.9730134072600549,[-1.53245461]
MNUMS 141,1.0240323122190391,[-0.12895401]
MNUMS 140,1.0655222801754125,[-0.58097462]
MNUMS 154,0.9287983190108466,[-1.77424561]
MNUMS 150,0.9664821878911465,[0.32589486]
MNUMS 144,1.020490988456995,[0.13435601]
MNUMS 145,0.9413711237391552,[0.56446961]
MNUMS 151,0.938498374354731,[-1.10898219]
MNUMS 147,1.0016063252180862,[0.14220511]
MNUMS 153,0.9677115692261872,[1.05601013]
MNUMS 152,0.9709101499507604,[0.99647933]
MNUMS 146,0.9574618725611499,[-0.06211514]
