Sensor,Coefficient,Intercept
MNUMS 148,0.9975711697433286,[2.09604493]
MNUMS 149,0.9969014733211179,[2.80870855]
MNUMS 158,0.9968322490471314,[2.82187039]
MNUMS 128,0.9973770227926069,[2.1886683]
MNUMS 178,0.9968560200363142,[2.72420646]
MNUMS 129,0.9951630385212428,[4.08774069]
MNUMS 139,0.995847799048482,[3.74890712]
MNUMS 168,0.9963973152043062,[3.48766302]
MNUMS 169,0.9958686754021444,[3.39656688]
MNUMS 138,0.9963017011442344,[3.05615606]
MNUMS 121,0.9961319911737576,[3.19760991]
MNUMS 135,0.9969761338281368,[2.37406092]
MNUMS 164,0.9918744354810662,[7.17047154]
MNUMS 170,0.9963076080666409,[3.45655957]
MNUMS 165,0.9946905390214484,[4.65644763]
MNUMS 159,0.993929884767482,[5.36018506]
MNUMS 134,0.995779008949053,[3.44748073]
MNUMS 136,0.9975940627257751,[2.08349408]
MNUMS 122,0.9981203422787996,[1.64723495]
MNUMS 167,0.9943838668180419,[4.81502465]
MNUMS 166,0.9970040115115966,[2.74061103]
MNUMS 123,0.9815509828950256,[15.96014172]
MNUMS 137,0.995071237851562,[4.39599388]
MNUMS 133,0.9968484857684939,[2.46649375]
MNUMS 127,0.9963390411078356,[2.96264678]
MNUMS 176,0.9966304044102213,[2.94796146]
MNUMS 162,0.995704887583331,[3.90145314]
MNUMS 163,0.9934242673188654,[5.67765868]
MNUMS 177,0.9952567555169974,[4.4300546]
MNUMS 126,0.9935909337929922,[5.32383611]
MNUMS 132,0.9937659119303854,[5.23640188]
MNUMS 124,0.9953441446005841,[3.70185527]
MNUMS 130,0.9960273454445697,[3.32023514]
MNUMS 161,0.9946903075211712,[4.61127412]
MNUMS 175,0.998809820702794,[1.20504245]
MNUMS 160,0.9937386262871772,[5.39274176]
MNUMS 131,0.9962847533262669,[3.1342971]
MNUMS 125,0.9975086621769012,[2.0997517]
MNUMS 142,0.9956360754097926,[3.72744586]
MNUMS 156,0.9961228318386374,[3.45961911]
MNUMS 157,0.9951485023812491,[3.94901546]
MNUMS 143,0.9970738545633893,[2.24280165]
MNUMS 155,0.992633016524478,[6.41964402]
MNUMS 141,0.9941510632135575,[4.82491798]
MNUMS 140,0.995388538769231,[3.73437068]
MNUMS 154,0.9937204228125692,[5.64001976]
MNUMS 150,0.9949940378269947,[4.21260514]
MNUMS 144,0.9946220285207739,[4.73694907]
MNUMS 145,0.9955594847616621,[3.68770667]
MNUMS 151,0.9969898354748132,[2.68633452]
MNUMS 147,0.9995415714840719,[0.478707]
MNUMS 153,0.997210087151049,[2.31957342]
MNUMS 152,0.9953512828357118,[3.87176035]
MNUMS 146,0.9983464992237291,[1.36336223]
