Sensor,Coefficient,Intercept
MNUMS 179,0.8374479744718404,[1.42535439]
MNUMS 186,0.885747293723722,[1.67206561]
MNUMS 192,0.939366819767183,[1.6211778]
MNUMS 193,0.8397815855558698,[1.40298948]
MNUMS 187,0.844155648988462,[1.70573238]
MNUMS 191,0.8503828871481811,[1.41346884]
MNUMS 185,0.8914830805440248,[1.47530542]
MNUMS 184,0.8915261603552279,[2.27044582]
MNUMS 190,0.899781444323285,[1.7352496]
MNUMS 194,0.8335436975489863,[0.92435809]
MNUMS 180,0.8549619885140758,[1.73602596]
MNUMS 181,0.8828000315211438,[1.43796532]
MNUMS 195,0.8612658704423302,[0.61766191]
MNUMS 183,0.881267315072903,[1.91248277]
MNUMS 197,0.8780680954277231,[0.38803655]
MNUMS 196,0.8590459650305492,[0.42422477]
MNUMS 182,0.8587914201297975,[1.95944953]
MNUMS 206,0.8438016421623366,[0.10861943]
MNUMS 171,0.919490538019575,[1.50912292]
MNUMS 205,0.8276681629099303,[0.37119795]
MNUMS 173,0.9557274014403669,[1.94227747]
MNUMS 198,0.89890692386607,[0.45138699]
MNUMS 199,0.8411930547678576,[0.46097459]
MNUMS 172,1.0667586166933616,[2.26112334]
MNUMS 204,0.8563242150197136,[0.78031573]
MNUMS 200,0.8668601372616088,[0.09245711]
MNUMS 189,0.8423712124928017,[1.73579773]
MNUMS 188,0.9180442440203378,[2.04257898]
MNUMS 201,0.881701490243297,[0.61098318]
MNUMS 203,0.8426204187551101,[0.30230131]
MNUMS 174,0.9034132637147226,[2.08464193]
MNUMS 202,0.8445391068375742,[0.45676214]
