Sensor,Coefficient,Intercept
MNUMS 179,1.1072949316857559,[-10.66754536]
MNUMS 186,1.0312037844511215,[-3.06598608]
MNUMS 192,0.9859957198221448,[0.17263777]
MNUMS 193,0.9785771431072028,[1.76058469]
MNUMS 187,0.9736492479485038,[0.73218341]
MNUMS 191,0.9404220456424285,[4.93309847]
MNUMS 185,1.0909910540756875,[-9.3050741]
MNUMS 184,0.9857644208073638,[0.90625888]
MNUMS 190,0.9659366739717601,[1.78422645]
MNUMS 194,0.8417430033093842,[18.69887575]
MNUMS 180,1.087553767357759,[-8.79198706]
MNUMS 181,0.9938133610665767,[-0.65954524]
MNUMS 195,0.8080026574549612,[21.82333721]
MNUMS 183,1.086612352215985,[-7.69424856]
MNUMS 197,0.8833660434341837,[16.9952693]
MNUMS 196,0.783190499089295,[23.81228225]
MNUMS 182,1.113345277049583,[-10.09218087]
MNUMS 206,0.8761928913373755,[16.67556125]
MNUMS 171,1.0487294231658086,[-5.24201172]
MNUMS 205,0.8427089515381718,[18.59818021]
MNUMS 173,1.0823255576108144,[-8.52836299]
MNUMS 198,0.8657936934767715,[17.34614327]
MNUMS 199,0.7797707128192426,[24.09301572]
MNUMS 172,1.0198573575113383,[-2.52958805]
MNUMS 204,0.8438869381178669,[18.69735345]
MNUMS 200,0.9181064190011873,[13.5065275]
MNUMS 189,0.9043424834356978,[7.54808019]
MNUMS 188,1.0294456407812023,[-2.68355993]
MNUMS 201,0.8733805171419011,[15.96172353]
MNUMS 203,0.7757666475756352,[24.53312717]
MNUMS 174,1.0311737283996718,[-3.58536486]
MNUMS 202,0.8440891192346803,[18.52928066]
